"gene","gene_log2FC","dominant_iso_log2FC","other_isoforms_log2FC","dominant_IF_before","dominant_IF_after","gene_expression","reproduces_in_T_HT"
"HHLA3",-0.6466,0.17,-1.0115,0.227,0.455,16.3,TRUE
"KIF4A",-0.6976,0.0769,-0.9083,0.182,0.294,33.6,FALSE
"NIPBL",-0.3309,0.3332,-0.4644,0.12,0.203,53.4,FALSE
"FBXL19",-0.6566,-0.0063,-0.905,0.221,0.352,86.2,TRUE
"COQ6",-0.4875,0.1461,-0.654,0.163,0.268,23.2,TRUE
"PENK",-0.3928,0.2062,-1.1085,0.483,0.764,12.5,FALSE
"CD163L1",-0.4654,0.1089,-0.6627,0.208,0.313,67.5,TRUE
"IRF3",-0.5237,0.0278,-0.6282,0.132,0.199,101.9,FALSE
"HACD4",-0.5715,-0.054,-0.9136,0.341,0.496,50,FALSE
"CCNH",-0.3586,0.1467,-0.56,0.234,0.342,47.4,FALSE
"PCNT",-0.5117,-0.0126,-0.7644,0.294,0.416,43.9,FALSE
"BCL7B",-0.3785,0.1117,-0.8395,0.407,0.575,129.8,FALSE
"AMT",-0.5195,-0.0345,-0.6637,0.22,0.309,16.8,TRUE
"GLMP",-0.3862,0.0948,-0.5361,0.2,0.281,132.6,FALSE
"KLHL7",-0.5058,-0.0592,-0.7213,0.316,0.445,16.4,FALSE
"RBL2",-0.41,0.0362,-0.5856,0.251,0.339,58.3,TRUE
"GTF2H2C",-0.3551,0.0906,-0.4954,0.206,0.286,42.1,FALSE
"NRF1",-0.3425,0.0998,-0.6281,0.44,0.494,27.4,TRUE
"CKAP5",-0.3144,0.126,-0.4557,0.21,0.285,80.4,TRUE
"B3GALNT1",-0.5003,-0.0706,-0.7177,0.344,0.473,14.3,FALSE
"DAB1",-0.3743,0.0472,-0.5246,0.232,0.319,34.9,FALSE
"KDM3B",-0.4848,-0.0701,-0.5994,0.196,0.263,67.4,FALSE
"POT1",-0.3417,0.0664,-0.4735,0.211,0.29,44.8,FALSE
"EPN3",-0.4163,-0.012,-0.5403,0.205,0.276,131,FALSE
"FBXO25",-0.4065,-0.004,-0.6306,0.33,0.437,33.4,FALSE
"P2RY2",-0.3149,0.0799,-0.536,0.322,0.441,24.5,FALSE
"ORC5",-0.4669,-0.0754,-0.7002,0.35,0.454,40.8,FALSE
"PSEN2",-0.4696,-0.0807,-0.5568,0.169,0.216,162.3,FALSE
"KAT14",-0.466,-0.0781,-0.6291,0.316,0.428,12.6,FALSE
"NUP133",-0.433,-0.0456,-0.542,0.195,0.256,127.2,FALSE
"RTEL1",-0.3075,0.0797,-0.4108,0.185,0.258,18.4,TRUE
"MOSPD1",-0.4129,-0.0464,-0.5667,0.303,0.401,14.7,FALSE
"INTS10",-0.3409,0.0161,-0.4451,0.201,0.259,120,FALSE
"TMEM198B",-0.4286,-0.0808,-0.5289,0.228,0.297,21.5,FALSE
"GNPAT",-0.3647,-0.0262,-0.4978,0.253,0.322,165.6,FALSE
"SEC24D",-0.3878,-0.0543,-0.4617,0.167,0.215,84.9,FALSE
"VPS26C",-0.3454,-0.0223,-0.4669,0.254,0.322,51.9,TRUE
"DEDD2",-0.3025,0.0142,-0.5088,0.354,0.442,309.1,TRUE
"GBA",-0.3765,-0.072,-0.4907,0.25,0.308,192.5,FALSE
"EPM2A",-0.3379,-0.0364,-0.5034,0.374,0.466,14.5,FALSE
"RTF2",-0.3475,-0.0508,-0.4571,0.247,0.303,181.9,FALSE
"BUD13",-0.3394,-0.0439,-0.4587,0.279,0.344,35,FALSE
"CRNKL1",-0.3485,-0.0581,-0.4736,0.308,0.384,21.4,FALSE
"PSPH",-0.3358,-0.0516,-0.4322,0.273,0.338,17.8,FALSE
"MBD6",-0.3501,-0.07,-0.5522,0.403,0.489,44.9,FALSE
"ANO10",-0.328,-0.0514,-0.6554,0.567,0.702,14.2,FALSE
"ZNF221",-0.3445,-0.0695,-0.4658,0.327,0.403,17.5,FALSE
"AP3B1",-0.3192,-0.0565,-0.3866,0.199,0.232,83,FALSE
"ZNF91",-0.3486,-0.0932,-0.4535,0.313,0.373,21.8,FALSE
"TPRKB",-0.3248,-0.0746,-0.4037,0.233,0.274,68.2,FALSE
"CENPU",-0.32,-0.0784,-0.3994,0.246,0.291,49.4,FALSE
"SMARCAL1",-0.323,-0.0828,-0.3962,0.245,0.282,32.4,FALSE
"LACC1",-0.3159,-0.0774,-0.3814,0.207,0.246,86.8,FALSE
"TBC1D15",-0.306,-0.0791,-0.4134,0.314,0.369,65.7,FALSE
"TOP2A",-0.3026,-0.0779,-0.361,0.198,0.226,255.8,FALSE
"TCEAL4",-0.3037,-0.0848,-0.3855,0.264,0.307,78,FALSE
