"gene","gene_log2FC","max_abs_dIF","gene_expression","reproduces_in_T_HT","testable_in_T_HT"
"SPRING1",0.0049,0.2845,32.1,FALSE,TRUE
"IPCEF1",0.2054,0.275,60.5,TRUE,TRUE
"IRAK3",-0.0774,0.2382,14.1,FALSE,FALSE
"PLD6",0.2457,0.2218,30.9,TRUE,TRUE
"LIG1",-0.1946,0.2187,70.5,FALSE,TRUE
"SAMD14",0.0748,0.2176,15.1,FALSE,FALSE
"ATRN",-0.1357,0.2079,18.5,TRUE,TRUE
"CTTNBP2NL",-0.0734,0.1942,19.1,TRUE,TRUE
"SP1",-0.2232,0.1841,51,TRUE,TRUE
"SOCS4",0.044,0.1795,23,TRUE,TRUE
"RAB7B",-0.2145,0.1741,714.6,TRUE,TRUE
"DCUN1D4",0.2146,0.1706,26.3,FALSE,TRUE
"SORT1",-0.0741,0.1658,68.2,FALSE,TRUE
"R3HCC1L",-0.1136,0.1629,16.4,FALSE,FALSE
"ZDHHC21",0.0081,0.1627,13.7,FALSE,FALSE
"PPAN-P2RY11",-0.2178,0.1599,180.7,TRUE,TRUE
"ITSN1",-0.1729,0.1597,13.3,FALSE,FALSE
"PCSK7",-0.0238,0.1571,46.5,TRUE,TRUE
"AGPAT3",0.1758,0.1546,66.2,FALSE,TRUE
"BISPR",-0.2409,0.1539,68.6,TRUE,TRUE
"ACP3",-0.0942,0.1536,221.2,TRUE,TRUE
"RPUSD2",-0.2064,0.1523,15.3,FALSE,FALSE
"EHBP1",-0.0472,0.1514,23.6,FALSE,TRUE
