gene_set,gene,n_TLR4_partners,partners
switch_WT,DDX58,10,CHUK;IKBKB;IKBKE;IKBKG;IRF3;IRF7;RIPK1;TBK1;TRAF3;TRAF6
switch_WT,IRAK3,5,IRAK1;IRAK2;IRAK4;MYD88;TRAF6
switch_WT,PRKACB,3,NFKBIA;TRAF3;TRAF6
switch_WT,RSAD2,3,IRAK1;TBK1;TRAF6
switch_WT,SP1,2,NFKB1;RELA
switch_WT,USP18,5,CHUK;IKBKB;IKBKG;MAP3K7;TAB1
switch_KO,BCL2A1,1,NFKB1
switch_KO,IFT81,1,TLR4
switch_KO,PHIP,1,IRAK1
switch_KO,TRIM38,1,TAB2
cryptic,IRAK3,5,IRAK1;IRAK2;IRAK4;MYD88;TRAF6
cryptic,SP1,2,NFKB1;RELA
class_b,IRF3,9,CD14;IKBKE;IRF7;LY96;TBK1;TICAM1;TICAM2;TLR4;TRAF3
class_b,KAT14,1,MAP3K7
class_b,PCNT,2,IKBKG;UBE2N
class_b,PSEN2,1,TRAF6
