statistic,value
WT_events_classified,143.0
coverage_pct,100.0
naive_first_exon_differs_pct,98.6
naive_last_exon_differs_pct,92.3
true_alt_promoter_pct,69.2
pure_promoter_switch_pct,21.7
internal_junction_pct,59.4
promoter_plus_internal_pct,47.6
internal_only_pct,11.9
terminal_other_pct,18.9
boundary_offset_only_pct,18.9
median_tss_distance_bp,12679.0
dip_test_p_FULL,0.9904
dip_test_p_ENST_subset_prev,0.008
KO_events,78.0
KO_pure_promoter_pct,30.8
KO_internal_pct,51.3
WT_vs_KO_internal_fisher_p,0.259
ensembl_vs_gff3_spearman,0.649
same_partner_chosen_pct,57.4
