topic,claim,first_author,year,journal,doi_or_pmid,relevance_note
UBL5 molecular function,"Hub1 binds non-covalently to the HIND motif of Snu66 (SART1 in mammals); hub1-delta spliceosomes cannot use certain non-canonical 5' splice sites and fail SRC1 alternative splicing, while general splicing is barely affected in S. cerevisiae.",Mishra SK,2011,Nature,10.1038/nature10143,"Foundational mechanism. Predicts a UBL5 requirement that is SUBSTRATE-SELECTIVE (weak/non-canonical splice sites), not global - directly relevant to a transcriptome-wide but partial splicing deficit."
UBL5 molecular function,"Hub1 binds the DEAD-box helicase Prp5 and stimulates its ATPase activity; high Hub1 enhances splicing efficiency but relaxes fidelity, tolerating suboptimal splice sites and branchpoints; a Hub1-activated cryptic intron in PRP5 provides negative feedback.",Karaduman R,2017,Molecular Cell,10.1016/j.molcel.2017.06.021,Gives a dose-dependent model: UBL5 level sets how permissive the spliceosome is to suboptimal sites. Basis for the inference that demand for UBL5 rises when a stimulus floods the spliceosome with new pre-mRNA.
UBL5 molecular function,In S. pombe hub1 is essential; its loss causes cell-cycle defects and inefficient pre-mRNA splicing; Snu66 was identified as a Hub1 interactor.,Wilkinson CRM,2004,Current Biology,10.1016/j.cub.2004.11.058,Establishes essentiality in fission yeast - relevant to whether a true null KO is viable.
UBL5 molecular function,Hub1 is an essential ubiquitin-like protein in fission yeast that does not act as a typical (covalent) modifier.,Yashiroda H,2004,Genes to Cells,10.1111/j.1365-2443.2004.00807.x,"Confirms non-canonical, non-conjugating mode of action."
UBL5 molecular function,"Human Hub1/UBL5 binds SART1/Snu66 and is essential for viability; prolonged depletion causes speckle abnormalities, partial nuclear retention of mRNA, mitotic catastrophe and apoptosis.",Ammon T,2014,Journal of Molecular Cell Biology,10.1093/jmcb/mju026,CAUTION for this dataset: human UBL5 is reported essential. A viable UBL5 KO line with normal baseline splicing needs explicit validation that the allele is null.
UBL5 molecular function,UBL5 depletion in human cells decreases pre-mRNA splicing efficiency and causes globally enhanced intron retention; the resulting Sororin intron retention explains a sister-chromatid cohesion defect. UBL5 D22A still bound SART1 and rescued cohesion.,Oka Y,2014,EMBO Reports,10.15252/embr.201439478,CONTRADICTS a clean 'no constitutive splicing defect' expectation: human UBL5 knockdown gives a GLOBAL baseline intron-retention phenotype. Also shows the SART1 interface is not the only functional surface.
UBL5 molecular function,"C. elegans UBL-5 binds the HIND-containing splicing factors SNU66/SART-1 and PRP-38, associates with SR proteins and hnRNPs, and ubl-5 mutants arrest and die at larval stage 3 with splicing defects; UBL-5 complements S. pombe hub1 mutants.",Kolathur KK,2022,FEBS Letters,10.1002/1873-3468.14555,"Conservation of the splicing function into a metazoan; also shows UBL5 contacts SR/hnRNP machinery, widening the possible mechanism."
UBL5 molecular function,Arabidopsis UBL5/Hub1 regulates growth and development through pre-mRNA splicing.,Watanabe E,2019,PLOS ONE,10.1371/journal.pone.0224795,Plant conservation; peripheral to this dataset.
UBL5 condition-dependence,Hub1 is transcriptionally upregulated via the yeast AP-1 (Yap1) regulon upon oxidative and heavy-metal stress and promotes efficient splicing of introns with non-canonical splice sites; hub1 mutants become cadmium-sensitive when metallothionein defence is impaired.,Chanarat S,2020,BBA - Molecular Cell Research,10.1016/j.bbamcr.2019.118565,"THE closest published support for a stimulus-conditional UBL5 splicing requirement - but it is YEAST and the stress is oxidative/heavy-metal, not TLR4. Central to Q2."
UBL5 condition-dependence,"Review framing UBL5/Hub1 as a stress-responsive regulator spanning stress-induced control of pre-mRNA splicing, the Fanconi anaemia DNA-repair pathway and the mitochondrial unfolded protein response; notes UBL5 binds DDX46/Prp5 and SART1/Snu66 at distinct surfaces and that MFAP1 and SART1 compete for the same UBL5 surface across spliceosome states.",Chanarat S,2021,International Journal of Molecular Sciences,10.3390/ijms22179384,"Best single synthesis of the 'condition-dependent' hypothesis; explicitly a review, not primary evidence."
UBL5 condition-dependence,"UBL5 is an ER-stress-responsive protein that is rapidly depleted in mammalian cells and mouse liver via proteasome-dependent but ubiquitin-independent proteolysis; PERK activation is necessary and sufficient for this depletion, and UBL5 knockdown activates multiple death pathways.",Wang W,2023,Journal of Biological Chemistry,10.1016/j.jbc.2023.104915,MAMMALIAN evidence that UBL5 abundance is itself stimulus-regulated - the strongest non-yeast support that UBL5 operates conditionally.
UBL5 knockout/knockdown phenotypes,"ubl-5 RNAi compromises UPRmt signalling in C. elegans, perturbs mitochondrial morphology and complex assembly, and mitochondrial stress drives nuclear accumulation of GFP-UBL-5.",Benedetti C,2006,Genetics,10.1534/genetics.106.061580,"Establishes the mitochondrial-UPR role as real - but in worm, and as a transcriptional co-regulator, not a splicing function."
UBL5 knockout/knockdown phenotypes,"Mitochondrial unfolded-protein stress drives formation of a nuclear complex between the homeodomain transcription factor DVE-1 and UBL-5, which binds mitochondrial chaperone gene promoters.",Haynes CM,2007,Developmental Cell,10.1016/j.devcel.2007.07.016,"Defines the DVE-1/UBL-5 UPRmt axis. CAVEAT: DVE-1 has no clear human orthologue, so this arm does not transfer cleanly to THP-1 cells."
UBL5 knockout/knockdown phenotypes,UBL5 promotes the functional integrity of the Fanconi anaemia DNA-repair pathway via interaction with FANCI.,Oka Y,2015,EMBO Journal,10.15252/embj.201490376,A splicing-independent UBL5 function; a confounder when attributing KO phenotypes to splicing.
UBL5 immunity,Review of UBL5 in viral infection; summarises spliceosome-stabilising and post-transcriptional roles and notes UBL5 binding and degradation of rice stripe virus NS3. No mammalian innate-immune or macrophage function is established.,Xia L,2024,Viruses,10.3390/v16121922,The only UBL5 'immunity' literature retrieved. Its mammalian immune content is speculative; the concrete antiviral result is in a plant virus system.
AS in TLR/LPS signalling,"Alternative splicing of at least 13 genes in the TLR pathway yields dominant-negative inhibitors; review covers MyD88-S, smTLR4, MD-2s and species-conservation caveats (no direct human homologue of the mouse smTLR4 alternative exon).",Lee FFY,2022,Frontiers in Immunology,10.3389/fimmu.2022.1023567,"Best single review for section 2. Establishes AS as a bona fide regulatory (negative-feedback) layer in TLR signalling, not noise."
AS in TLR/LPS signalling,"MyD88-S, produced by skipping of MyD88 exon 2, is a dominant-negative inhibitor of IL-1R/TLR-induced NF-kB activation.",Janssens S,2002,Current Biology,10.1016/S0960-9822(02)00712-1,Original MyD88-S description.
AS in TLR/LPS signalling,"MyD88-S inhibits signalling because it fails to recruit IRAK-4; in its presence IRAK-1 is not phosphorylated, does not activate NF-kB and is not ubiquitinated.",Burns K,2003,Journal of Experimental Medicine,10.1084/jem.20021790,Mechanism of the canonical dominant-negative splice isoform in this pathway.
AS in TLR/LPS signalling,"Reducing SF3A/SF3B levels or activity enhances MyD88-S production by promoting skipping of MyD88 exon 2, limiting the innate immune response.",De Arras L,2013,PLoS Genetics,10.1371/journal.pgen.1003855,Direct evidence that a CORE SPLICEOSOME component (not just an SR/hnRNP regulator) tunes innate immune output - the closest published analogue to perturbing UBL5.
