"finding","metric","value"
"reference_concordance","genes_testable_both_references",10592
"reference_concordance","switching_in_T_HT",95
"reference_concordance","switching_in_T_UT",116
"reference_concordance","switching_in_both",55
"reference_concordance","jaccard",0.353
"reference_concordance","discordant_near_miss_dif_0.10_0.15",53
"reference_concordance","discordant_below_expr_floor",24
"reference_concordance","discordant_clearly_absent",24
"lps_response_blunting","genes_compared",8595
"lps_response_blunting","sd_log2FC_WT",0.6827
"lps_response_blunting","sd_log2FC_KO",0.499
"lps_response_blunting","regression_slope_KO_on_WT",0.516
"lps_response_blunting","spearman_WT_vs_KO",0.727
"switching_deficit","crude_odds_ratio_KO_vs_WT",0.532
"switching_deficit","mantel_haenszel_OR_adj_for_response",0.784
"switching_deficit","MH_CI_low",0.558
"switching_deficit","MH_CI_high",1.1
"switching_deficit","MH_p_value",0.173
