UBL5_partner,spliceosome_or_RBP
ALYREF,False
AQR,True
BUD13,True
BUD31,True
CAB39,False
CDC40,False
CDC5L,True
CLK1,False
CLK4,False
CRNKL1,True
CTNNBL1,False
CWC15,False
DDX39B,True
DDX5,True
DHX9,False
EFTUD2,True
FANCI,False
IK,True
KIN,False
LSM2,True
LSM3,True
LSM4,True
LSM5,True
LSM6,True
LSM7,True
LSM8,True
MFAP1,False
MTREX,False
NCBP1,False
NCBP2,False
PHF5A,False
PLRG1,True
PPIE,True
PPIH,False
PPIL2,False
PQBP1,False
PRPF3,True
PRPF31,True
PRPF38A,True
PRPF4,True
PRPF6,True
PRPF8,True
RBM22,True
RBMX2,True
SART1,True
SERTAD3,False
SF3A1,True
SF3A2,True
SF3A3,True
SF3B1,True
SF3B2,True
SF3B3,True
SF3B4,True
SF3B5,True
SF3B6,True
SMU1,True
SNIP1,False
SNRNP200,False
SNRNP40,False
SNRPA1,True
SNRPB,True
SNRPB2,True
SNRPD1,True
SNRPD2,True
SNRPD3,True
SNRPE,True
SNRPF,True
SNRPG,True
SNU13,False
SNW1,False
SRRM1,False
SRRM2,False
SRRT,False
SRSF1,True
TCERG1,False
TXNL4A,True
UBE2N,False
WBP11,True
WBP4,True
WDR83,False
XAB2,True
ZMAT2,False
