"dataset","marker","n_genes","n_dropped_unknown","riser_only","faller_only","ratio","p"
"T_HT","PTC",198,18,14,6,2.33333333333333,0.115318298339844
"T_HT","IR",216,0,13,15,0.866666666666667,0.850554019212723
"T_HT","novel_pacbio (confound check)",216,0,48,36,1.33333333333333,0.22986440696912
"H_HT","PTC",355,30,20,17,1.17647058823529,0.742829358729068
"H_HT","IR",385,0,21,20,1.05,1
"H_HT","novel_pacbio (confound check)",385,0,72,61,1.18032786885246,0.385958754341079
"U_UT","PTC",102,25,7,4,1.75,0.548828125
"U_UT","IR",127,0,8,10,0.8,0.814529418945313
"U_UT","novel_pacbio (confound check)",127,0,29,18,1.61111111111111,0.143865088440549
"T_UT","PTC",219,29,21,6,3.5,0.00592461228370666
"T_UT","IR",248,0,19,20,0.95,1
"T_UT","novel_pacbio (confound check)",248,0,49,41,1.19512195121951,0.460792472718972
