"scale","model","contrast","genes_tested","genes_significant","pct_significant"
"expected_count","primary (~0+group)","WT_LPS",12724,290,2.28
"expected_count","primary (~0+group)","KO_LPS",12744,47,0.37
"expected_count","primary (~0+group)","interaction",12715,4,0.03
"expected_count","sensitivity (+rep3)","WT_LPS",12724,282,2.22
"expected_count","sensitivity (+rep3)","KO_LPS",12744,31,0.24
"expected_count","sensitivity (+rep3)","interaction",12715,0,0
"scaledTPM","primary (~0+group)","WT_LPS",13098,174,1.33
"scaledTPM","primary (~0+group)","KO_LPS",13129,37,0.28
"scaledTPM","primary (~0+group)","interaction",13086,2,0.02
"scaledTPM","sensitivity (+rep3)","WT_LPS",13098,155,1.18
"scaledTPM","sensitivity (+rep3)","KO_LPS",13129,25,0.19
"scaledTPM","sensitivity (+rep3)","interaction",13086,0,0
