"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000005","XLOC_000005",4,0,4,0.373594242054729,0.373594242054729,0.176133333333333,,FALSE
"XLOC_000024","MTND1P23",2,0,1,7.84168191518168e-45,7.84168191518168e-45,0.0275,,FALSE
"XLOC_000034","LINC01128",33,0,2,0.0253563323486833,0.0253563323486833,0.0883,,FALSE
"XLOC_000043","AGRN",9,0,0,0.441411630646281,0.441411630646281,0.0499666666666667,,FALSE
"XLOC_000044","XLOC_000044",12,0,4,0.481622138132874,0.481622138132874,0.1702,,FALSE
"XLOC_000059","MRPL20-AS1",9,0,1,0.851484389296584,0.851484389296584,0.143533333333333,,FALSE
"XLOC_000065","ATAD3B",7,0,1,0.00894049191441325,0.00894049191441325,0.0902666666666667,,FALSE
"XLOC_000067","ATAD3A",6,0,0,0.264006879887658,0.264006879887658,0.0775666666666667,,FALSE
"XLOC_000070","MIB2",27,0,0,0.752239876245479,0.752239876245479,0.0829,,FALSE
"XLOC_000083","RER1",12,0,3,0.863480226741639,0.863480226741639,0.0385666666666667,,FALSE
"XLOC_000086","TNFRSF14",15,0,1,0.898956538172598,0.898956538172598,0.0438666666666667,,FALSE
"XLOC_000090","PRXL2B",13,0,0,0.33078709779968,0.33078709779968,0.0863,,FALSE
"XLOC_000105","SMIM1",4,0,0,0.603004997903101,0.603004997903101,0.1341,,FALSE
"XLOC_000108","DFFB",9,0,0,0.00279863645711931,0.00279863645711931,0.3231,,FALSE
"XLOC_000120","KCNAB2",39,0,1,0.000193219182912647,0.000193219182912647,0.0147666666666667,,FALSE
"XLOC_000129","ZBTB48",11,0,4,0.0233892910104221,0.0233892910104221,0.0721333333333333,,FALSE
"XLOC_000131","THAP3",9,0,2,0.143239514759498,0.143239514759498,0.0707,,FALSE
"XLOC_000134","CAMTA1",17,0,3,0.647028551426597,0.647028551426597,0.0537666666666667,,FALSE
