"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_isoforms","min_isoform_switch_q","min_gene_switch_q","max_abs_dif_all_isoforms","max_abs_dif_switching","novel_involved"
"XLOC_000002","XLOC_000002",6,0,6,0.922042764346874,0.922042764346874,0.156533333333333,,FALSE
"XLOC_000004","XLOC_000004",6,0,6,0.561029634410791,0.561029634410791,0.113566666666667,,FALSE
"XLOC_000005","XLOC_000005",2,0,2,0.94652657060839,0.94652657060839,0.154966666666667,,FALSE
"XLOC_000007","XLOC_000007",9,0,9,0.579881125084817,0.579881125084817,0.0926,,FALSE
"XLOC_000009","XLOC_000009",6,0,6,1.82386949090153e-05,1.82386949090153e-05,0.261166666666667,,FALSE
"XLOC_000027","MTND1P23",2,0,1,0.94652657060839,0.94652657060839,0.333466666666667,,FALSE
"XLOC_000028","MTND2P28",3,0,2,0.0998137602338286,0.0998137602338286,0.0650666666666667,,FALSE
"XLOC_000031","MTATP6P1",2,0,0,0.979616479106321,0.979616479106321,0.000233333333333333,,FALSE
"XLOC_000037","LINC01128",37,0,2,0.392885316336043,0.392885316336043,0.0732333333333333,,FALSE
"XLOC_000042","SAMD11",13,0,0,0.016925432030096,0.016925432030096,0.111,,FALSE
"XLOC_000043","KLHL17",4,0,0,0.94652657060839,0.94652657060839,0.0341333333333333,,FALSE
"XLOC_000044","PLEKHN1",5,0,0,0.00085160566632502,0.00085160566632502,0.153633333333333,,FALSE
"XLOC_000045","ISG15",2,0,1,0.94652657060839,0.94652657060839,1e-04,,FALSE
"XLOC_000046","AGRN",10,0,0,0.590230822323057,0.590230822323057,0.00666666666666667,,FALSE
"XLOC_000047","XLOC_000047",11,0,5,0.595195127957054,0.595195127957054,0.117,,FALSE
"XLOC_000055","B3GALT6",5,0,4,0.94652657060839,0.94652657060839,0.0202666666666667,,FALSE
"XLOC_000057","SCNN1D",7,0,0,0.478212254861374,0.478212254861374,0.132066666666667,,FALSE
"XLOC_000058","PUSL1",5,0,1,0.0709527633759408,0.0709527633759408,0.0255333333333334,,FALSE
"XLOC_000062","MRPL20-AS1",12,0,3,0.251370593225603,0.251370593225603,0.189733333333333,,FALSE
"XLOC_000063","MRPL20-DT",2,0,1,0.94652657060839,0.94652657060839,0.214,,FALSE
"XLOC_000068","ATAD3B",7,0,1,0.728003731159121,0.728003731159121,0.0392,,FALSE
