"dataset","isg_set","n_tested","n_isg_tested","n_switching","n_isg_switching","pct_isg_switching","pct_nonisg_switching","odds_ratio","conf_low","conf_high","p_value","p_adj_across_datasets","isg_set_source"
"T_HT","Type I IFN",10688,63,95,4,6.34920634920635,0.856470588235294,7.84352865261301,2.02651143105983,21.8433943958673,0.0023372263864534,0.00934890554581359,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"T_HT","Type II IFN",10688,93,95,6,6.45161290322581,0.840018876828693,8.13617343124568,2.83196774525933,19.130901028824,0.000172112614321736,0.000344225228643472,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"T_HT","Any IFN",10688,145,95,8,5.51724137931035,0.82519207056815,7.0131988730254,2.87917608059311,14.8247389628963,4.24935482231286e-05,0.000169974192892514,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"H_HT","Type I IFN",8063,54,168,2,3.7037037037037,2.07266824822075,1.81692356434808,0.212608399187128,7.00528956529139,0.310764575067191,0.414352766756255,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"H_HT","Type II IFN",8063,81,168,2,2.46913580246914,2.07967927837635,1.19197850801988,0.140717902068574,4.51957661389264,0.686368242905619,0.686368242905619,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"H_HT","Any IFN",8063,124,168,3,2.41935483870968,2.07834739891674,1.16811856392713,0.235143695497322,3.55639068021633,0.745054078889436,0.745054078889436,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"U_UT","Type I IFN",11560,60,58,0,0,0.504347826086956,0,0,12.8962139695574,1,1,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"U_UT","Type II IFN",11560,90,58,4,4.44444444444444,0.47079337401918,9.8247130722471,2.52857910920113,27.5463452322843,0.00105758935795116,0.00141011914393488,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"U_UT","Any IFN",11560,140,58,4,2.85714285714286,0.472854640980736,6.1879944631418,1.6050064025107,17.1305631687119,0.00527163262750043,0.0070288435033339,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"T_UT","Type I IFN",11213,63,117,3,4.76190476190476,1.02242152466368,4.83867878602669,0.956697547125679,15.1882692389278,0.0279526583871267,0.0559053167742533,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"T_UT","Type II IFN",11213,95,117,7,7.36842105263158,0.989386580320201,7.95600035014709,3.0382904493832,17.6368365270776,5.8245519559871e-05,0.000232982078239484,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
"T_UT","Any IFN",11213,147,117,8,5.4421768707483,0.984999096331104,5.78321902732627,2.38874856103332,12.1194705823602,0.000147413938864332,0.000294827877728664,"GO (org.Hs.eg.db, GOALL): GO:0034340 + GO:0060337; GO:0034341"
