"gene_name","switching","max_abs_dif","max_abs_dif_any","gene_expression","novel_involved","dataset","reference","isg_class"
"ACOD1",FALSE,,0.115866666666667,99.1059919703236,FALSE,"T_HT","HT","Type II"
"ACTG1",FALSE,,0.0105333333333333,5274.79764851301,FALSE,"T_HT","HT","Type II"
"ACTR2",FALSE,,0.0620666666666667,553.863812409813,FALSE,"T_HT","HT","Type II"
"ACTR3",FALSE,,0.0419666666666666,814.423371448622,FALSE,"T_HT","HT","Type II"
"ADAMTS13",FALSE,,0.0628333333333334,3.494877318339,FALSE,"T_HT","HT","Type II"
"ADAR",FALSE,,0.0423,371.525349193992,FALSE,"T_HT","HT","Type I"
"AIF1",FALSE,,0.0561333333333334,268.1189981058,FALSE,"T_HT","HT","Type II"
"ASS1",FALSE,,0.0323,270.844587532284,FALSE,"T_HT","HT","Type II"
"AZI2",FALSE,,0.0782333333333333,53.3015167445516,FALSE,"T_HT","HT","Type I"
"BST2",FALSE,,0.00613333333333344,340.602376857626,FALSE,"T_HT","HT","Type II"
"CACTIN",FALSE,,0.0291333333333333,22.2877201514803,FALSE,"T_HT","HT","Type I"
"CALCOCO2",FALSE,,0.0506333333333333,71.7785796965259,FALSE,"T_HT","HT","Type II"
"CALM1",FALSE,,0.0370333333333333,224.455922756751,FALSE,"T_HT","HT","Type II"
"CASP1",FALSE,,0.1,89.2920275038474,FALSE,"T_HT","HT","Type II"
"CCL14",FALSE,,0.2269,2.93281435667262,FALSE,"T_HT","HT","Type II"
"CCL19",FALSE,,0.0160333333333333,51.0958584773564,FALSE,"T_HT","HT","Type II"
"CCL2",FALSE,,0.00940000000000007,191.750780536474,FALSE,"T_HT","HT","Type II"
"CCL20",FALSE,,0.0186666666666667,1846.1694701111,FALSE,"T_HT","HT","Type II"
"CCL21",FALSE,,0.00880000000000003,27.834674980822,FALSE,"T_HT","HT","Type II"
"CCL22",FALSE,,0.107833333333333,143.448171114849,FALSE,"T_HT","HT","Type II"
"CCL23",FALSE,,0.0296333333333334,32.7158717987381,FALSE,"T_HT","HT","Type II"
"CCL24",FALSE,,0.0867666666666665,10.5753560113103,FALSE,"T_HT","HT","Type II"
"CCL3",TRUE,0.234666666666667,0.234666666666667,5413.64924643446,TRUE,"T_HT","HT","Type II"
"CCL4",TRUE,0.188466666666667,0.188466666666667,10684.147663363,TRUE,"T_HT","HT","Type II"
"CD47",FALSE,,0.0266333333333333,165.428160966418,FALSE,"T_HT","HT","Type II"
"CD74",FALSE,,0.0591,444.329099671492,FALSE,"T_HT","HT","Type II"
"CDC37",FALSE,,0.0436666666666666,357.408353671851,FALSE,"T_HT","HT","Type I + II"
