"gene_name","in_A","in_B","status","pair","dataset_A","dataset_B","A_max_abs_dif","A_expr","B_max_abs_dif","B_expr"
"ACOD1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.115866666666667,99.1059919703236,0.0295,469.915099581168
"ACTG1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0105333333333333,5274.79764851301,0.0414666666666667,7799.64155403936
"ACTR2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0620666666666667,553.863812409813,0.0646333333333333,633.311427914744
"ACTR3",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0419666666666666,814.423371448622,0.0180333333333333,1235.650797751
"ADAR",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0423,371.525349193992,0.0473333333333333,249.770998243047
"AIF1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0561333333333334,268.1189981058,0.0201666666666667,684.532312012937
"AZI2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0782333333333333,53.3015167445516,0.0467333333333333,115.481475759194
"BST2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.00613333333333344,340.602376857626,0.00153333333333333,420.385369778565
"CACTIN",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0291333333333333,22.2877201514803,0.0626,19.2162837153219
"CALCOCO2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0506333333333333,71.7785796965259,0.0671,129.408065980416
"CALM1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0370333333333333,224.455922756751,0.0711666666666667,975.625943708026
"CASP1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.1,89.2920275038474,0.0933666666666667,204.993936008022
"CCL14",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.2269,2.93281435667262,0.0299333333333333,49.3722073919708
"CCL2",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.00940000000000007,191.750780536474,0.000966666666666671,3103.83144679389
"CCL20",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0186666666666667,1846.1694701111,0.0219333333333333,968.1437534279
"CCL22",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.107833333333333,143.448171114849,0.0950333333333333,4844.50791064634
"CCL24",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0867666666666665,10.5753560113103,0.0405666666666667,220.13146693876
"CCL3",TRUE,FALSE,"Switching in T_HT only","HT: T vs H","T_HT","H_HT",0.234666666666667,5413.64924643446,0.136,22409.4596175093
"CCL4",TRUE,FALSE,"Switching in T_HT only","HT: T vs H","T_HT","H_HT",0.188466666666667,10684.147663363,0.0596,22571.2938951298
"CD47",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0266333333333333,165.428160966418,0.0113,488.283262247737
"CD74",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0591,444.329099671492,0.0823666666666667,19052.5610682379
"CDC37",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0436666666666666,357.408353671851,0.00956666666666672,518.982057361205
"CIITA",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.118033333333333,3.10878768512821,0.0670333333333333,11.0540033572186
"CITED1",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0750333333333333,20.1457383268081,0.120633333333333,25.2945962575131
"CNOT7",FALSE,FALSE,"Switching in neither","HT: T vs H","T_HT","H_HT",0.0264,117.737550339668,0.0852,74.1642621260753
