"gene_name","switching","max_abs_dif","max_abs_dif_any","gene_expression","novel_involved","dataset","reference","isg_class"
"IFITM2",TRUE,0.363,0.363,193.578988054661,TRUE,"H_HT","HT","Type I + II"
"USP18",TRUE,0.173066666666667,0.173066666666667,411.748786122903,TRUE,"H_HT","HT","Type I"
"JAK2",TRUE,0.1622,0.1622,76.0581624529961,TRUE,"H_HT","HT","Type II"
"IFITM2",TRUE,0.289,0.289,289.00121263262,TRUE,"T_HT","HT","Type I + II"
"IFIT1",TRUE,0.2691,0.2691,203.286040350745,TRUE,"T_HT","HT","Type I"
"GBP1",TRUE,0.239266666666667,0.239266666666667,99.948790389714,TRUE,"T_HT","HT","Type II"
"CCL3",TRUE,0.234666666666667,0.234666666666667,5413.64924643446,TRUE,"T_HT","HT","Type II"
"CCL4",TRUE,0.188466666666667,0.188466666666667,10684.147663363,TRUE,"T_HT","HT","Type II"
"SHFL",TRUE,0.178666666666667,0.178666666666667,76.1123797295843,FALSE,"T_HT","HT","Type I + II"
"USP18",TRUE,0.164,0.164,110.244478678528,TRUE,"T_HT","HT","Type I"
"RAB7B",TRUE,0.154033333333333,0.154033333333333,624.66602370826,TRUE,"T_HT","HT","Type II"
"CCL22",TRUE,0.356333333333333,0.356333333333333,147.868336684749,TRUE,"T_UT","UT","Type II"
"IFITM2",TRUE,0.289466666666667,0.289466666666667,391.165015994835,TRUE,"T_UT","UT","Type I + II"
"CCL3",TRUE,0.235966666666667,0.235966666666667,7597.4760422593,TRUE,"T_UT","UT","Type II"
"CCL4",TRUE,0.188233333333333,0.188233333333333,14676.5237611215,TRUE,"T_UT","UT","Type II"
"GBP1",TRUE,0.185066666666667,0.185066666666667,135.73860067192,TRUE,"T_UT","UT","Type II"
"RAB7B",TRUE,0.1741,0.1741,714.648076169081,TRUE,"T_UT","UT","Type II"
"USP18",TRUE,0.165566666666667,0.165566666666667,152.059860370015,TRUE,"T_UT","UT","Type I"
"SHFL",TRUE,0.1562,0.1562,116.347442113845,FALSE,"T_UT","UT","Type I + II"
"CCL22",TRUE,0.882166666666667,0.882166666666667,16.1158509978708,TRUE,"U_UT","UT","Type II"
"CCL1",TRUE,0.470433333333333,0.474166666666667,168.396613082446,TRUE,"U_UT","UT","Type II"
"CCL4",TRUE,0.317466666666667,0.317466666666667,3751.64931962446,TRUE,"U_UT","UT","Type II"
"CCL3",TRUE,0.292766666666667,0.292766666666667,3111.0724809601,TRUE,"U_UT","UT","Type II"
