"isoform_id","gene_id","gene_name","T_dIF_n","T_q_i","T_q_g","T_is_switching","H_dIF_n","H_q_i","H_q_g","H_is_switching","in_T","in_H","T_significant","H_significant","present_in_both","same_direction","abs_dIF_delta","tested_in_H","tested_in_T","H_ctx_dIF","H_ctx_IF1","H_ctx_IF2","H_ctx_q","T_ctx_dIF","T_ctx_IF1","T_ctx_IF2","T_ctx_q","H_dIF_used","same_direction_ctx","T_dIF_used","same_direction_ctx_T","overlap_note_T"
"TCONS_00112614","XLOC_019531","SLX1B",-0.2478,0.873802805099399,0.702365049014911,FALSE,0.596833333333333,0.00132001492472584,0.00132001492472584,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.844633333333333,TRUE,TRUE,0.596833333333333,0.00346666666666667,0.6003,0.00132001492472584,-0.2478,0.500133333333333,0.252333333333333,0.873802805099399,0.596833333333333,FALSE,-0.2478,FALSE,"Tested in T, not switching"
"TCONS_00294656","XLOC_056732","GPC3",0.0211,0.000464083030277108,1.52180641703199e-08,FALSE,0.586866666666667,8.16550063963217e-09,8.16550063963217e-09,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.565766666666667,TRUE,TRUE,0.586866666666667,0.106466666666667,0.693333333333333,8.16550063963217e-09,0.0211,0.000633333333333333,0.0217333333333333,0.000464083030277108,0.586866666666667,TRUE,0.0211,TRUE,"Tested in T, not switching"
"TCONS_00239734","XLOC_045300","NCOA7",0.652166666666667,4.48137893502852e-113,4.48137893502852e-113,TRUE,0.522466666666667,2.17136794101734e-06,5.41945478936502e-11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1297,TRUE,TRUE,0.522466666666667,0.361033333333333,0.8835,2.17136794101734e-06,0.652166666666667,0.211866666666667,0.864033333333333,4.48137893502852e-113,0.522466666666667,TRUE,0.652166666666667,TRUE,"Significant in T"
"TCONS_00008449","XLOC_001925","RABGAP1L",-0.00443333333333333,0.848287479054371,0.0126084025004598,FALSE,0.4648,1.02999240242851e-09,1.02999240242851e-09,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.469233333333333,TRUE,TRUE,0.4648,0.0269,0.4917,1.02999240242851e-09,-0.00443333333333333,0.00443333333333333,0,0.848287479054371,0.4648,FALSE,-0.00443333333333333,FALSE,"Tested in T, not switching"
"TCONS_00137397","XLOC_025784","IER2",0.0719,0.9202403403604,0.443325244559178,FALSE,0.438933333333333,1.46774437426175e-07,3.44591246925931e-21,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.367033333333333,TRUE,TRUE,0.438933333333333,0.4976,0.936533333333333,1.46774437426175e-07,0.0719,0.712666666666667,0.784566666666667,0.9202403403604,0.438933333333333,TRUE,0.0719,TRUE,"Tested in T, not switching"
"TCONS_00150814","XLOC_025784","IER2",-0.0460333333333333,0.953625079218851,0.443325244559178,FALSE,-0.434366666666667,3.44591246925931e-21,3.44591246925931e-21,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.388333333333333,TRUE,TRUE,-0.434366666666667,0.477333333333333,0.0429666666666667,3.44591246925931e-21,-0.0460333333333333,0.216966666666667,0.170933333333333,0.953625079218851,-0.434366666666667,TRUE,-0.0460333333333333,TRUE,"Tested in T, not switching"
"TCONS_00074716","XLOC_013822","TRIM13",0.0434666666666667,0.493836595258474,0.0809003898553184,FALSE,0.421933333333333,7.22823445306889e-08,7.22823445306889e-08,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.378466666666667,TRUE,TRUE,0.421933333333333,0.1147,0.536633333333333,7.22823445306889e-08,0.0434666666666667,0,0.0434666666666667,0.493836595258474,0.421933333333333,TRUE,0.0434666666666667,TRUE,"Tested in T, not switching"
"TCONS_00014999","XLOC_003522","DOCK7",0.331866666666667,0.378836914948916,0.00660436043000244,FALSE,0.414666666666667,0.00100603181426686,0.000724341040314165,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.0828,TRUE,TRUE,0.414666666666667,0.0182,0.432866666666667,0.00100603181426686,0.331866666666667,0,0.331866666666667,0.378836914948916,0.414666666666667,TRUE,0.331866666666667,TRUE,"Tested in T, not switching"
"TCONS_00128623","XLOC_022602","SSTR2",0.0847666666666667,1.98564215537036e-20,1.98564215537036e-20,FALSE,0.390866666666667,0.00027236890885461,0.00027236890885461,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.3061,TRUE,TRUE,0.390866666666667,0.110066666666667,0.500933333333333,0.00027236890885461,0.0847666666666667,0.000866666666666667,0.0856333333333333,1.98564215537036e-20,0.390866666666667,TRUE,0.0847666666666667,TRUE,"Tested in T, not switching"
"TCONS_00070434","XLOC_010685","RHNO1",0.0808,0.9202403403604,0.426492837860855,FALSE,-0.3792,2.30042676080251e-10,2.30042676080251e-10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.46,TRUE,TRUE,-0.3792,0.439533333333333,0.0603333333333333,2.30042676080251e-10,0.0808,0.1881,0.2689,0.9202403403604,-0.3792,FALSE,0.0808,FALSE,"Tested in T, not switching"
"TCONS_00161680","XLOC_030435","PRKD3",0.0169666666666667,0.953490982283896,0.00380296564360052,FALSE,0.378733333333333,2.80605699737198e-14,2.80605699737198e-14,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.361766666666667,TRUE,TRUE,0.378733333333333,0.121466666666667,0.5002,2.80605699737198e-14,0.0169666666666667,0.281366666666667,0.298333333333333,0.953490982283896,0.378733333333333,TRUE,0.0169666666666667,TRUE,"Tested in T, not switching"
"TCONS_00257940","XLOC_049244","GTF2IP1",-0.1297,0.68809578444135,0.00767904460992652,FALSE,-0.363666666666667,0.000925738004640471,0.000925738004640471,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.233966666666667,TRUE,TRUE,-0.363666666666667,0.363666666666667,0,0.000925738004640471,-0.1297,0.358766666666667,0.229066666666667,0.68809578444135,-0.363666666666667,TRUE,-0.1297,TRUE,"Tested in T, not switching"
"TCONS_00039729","XLOC_007508","IFITM2",0.289,3.61991580552096e-71,3.61991580552096e-71,TRUE,0.363,3.89343763484422e-05,3.89343763484422e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.074,TRUE,TRUE,0.363,0.0264666666666667,0.389466666666667,3.89343763484422e-05,0.289,0.0454333333333333,0.334433333333333,3.61991580552096e-71,0.363,TRUE,0.289,TRUE,"Significant in T"
"TCONS_00237686","XLOC_044711","FGD2",-0.201433333333333,0.18697272192516,0.169491032019054,FALSE,-0.359866666666667,0.041448291976406,0.0173804972922465,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.158433333333333,TRUE,TRUE,-0.359866666666667,0.797233333333333,0.437366666666667,0.041448291976406,-0.201433333333333,0.604233333333333,0.4028,0.18697272192516,-0.359866666666667,TRUE,-0.201433333333333,TRUE,"Tested in T, not switching"
"TCONS_00172855","XLOC_028473","MSH6",0.0275,0.992148567792928,0.452673387451757,FALSE,0.356166666666667,2.84965091202382e-09,2.84965091202382e-09,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.328666666666667,TRUE,TRUE,0.356166666666667,0,0.356166666666667,2.84965091202382e-09,0.0275,0.0377,0.0652,0.992148567792928,0.356166666666667,TRUE,0.0275,TRUE,"Tested in T, not switching"
"TCONS_00102864","XLOC_019460","UBFD1",0.0266,0.9202403403604,0.546488010390097,FALSE,-0.354966666666667,1.29267247992512e-05,1.29267247992512e-05,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.381566666666667,TRUE,TRUE,-0.354966666666667,0.479933333333333,0.124966666666667,1.29267247992512e-05,0.0266,0.2924,0.319,0.9202403403604,-0.354966666666667,FALSE,0.0266,FALSE,"Tested in T, not switching"
