"isoform_id","gene_id","gene_name","T_dIF_n","T_q_i","T_q_g","T_is_switching","H_dIF_n","H_q_i","H_q_g","H_is_switching","in_T","in_H","T_significant","H_significant","present_in_both","same_direction","abs_dIF_delta"
"TCONS_00001887","XLOC_000432","PIGV",-0.000400000000000011,0.99997933918653,0.00277804257535363,FALSE,-0.00313333333333335,1,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.00273333333333334
"TCONS_00001888","XLOC_000432","PIGV",-0.0224333333333333,0.916735266846798,0.00277804257535363,FALSE,0.0238,0.907831427572433,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.0462333333333333
"TCONS_00001889","XLOC_000432","PIGV",-0.1566,0.399428585699064,0.00277804257535363,FALSE,-0.1732,0.0371959141217356,0.0371959141217356,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.0166
"TCONS_00001890","XLOC_000432","PIGV",-0.0109333333333333,0.686672574903115,0.00277804257535363,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00001891","XLOC_000432","PIGV",0.00783333333333333,0.968462977932917,0.00277804257535363,FALSE,-0.0114333333333333,1,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.0192666666666667
"TCONS_00001894","XLOC_000432","PIGV",0.0161333333333333,0.793373709336575,0.00277804257535363,FALSE,0.00706666666666667,1,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.00906666666666667
"TCONS_00001895","XLOC_000432","PIGV",-0.0222333333333333,0.410314523931341,0.00277804257535363,FALSE,-0.00556666666666667,1,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0166666666666667
"TCONS_00001898","XLOC_000432","PIGV",0.00836666666666667,0.801612480500312,0.00277804257535363,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00001899","XLOC_000432","PIGV",-0.0141333333333333,0.801111330444905,0.00277804257535363,FALSE,0.00536666666666667,0.888595757302343,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.0195
"TCONS_00021580","XLOC_000432","PIGV",-0.000400000000000001,0.998661221362307,0.00277804257535363,FALSE,-0.00333333333333333,1,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.00293333333333333
"TCONS_00021581","XLOC_000432","PIGV",0.151233333333333,0.00277804257535363,0.00277804257535363,TRUE,0.1153,0.354956115979778,0.0371959141217356,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0359333333333333
"TCONS_00023117","XLOC_000432","PIGV",0.00353333333333334,0.673319998289467,0.00277804257535363,FALSE,0.0184,0.784513683071249,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0148666666666667
"TCONS_00023118","XLOC_000432","PIGV",0.0417333333333333,0.547872852177026,0.00277804257535363,FALSE,0.0169333333333333,1,0.0371959141217356,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0248
"TCONS_00002531","XLOC_000570","AGO3",0.0078,0.991832658746134,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00002532","XLOC_000570","AGO3",0.0798,0.759834373379824,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00002533","XLOC_000570","AGO3",-0.00743333333333334,0.955257583478351,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00002534","XLOC_000570","AGO3",-0.1663,0.0438625729336258,0.0438625729336258,TRUE,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,
"TCONS_00002536","XLOC_000570","AGO3",0.125166666666667,0.534620255456049,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00002537","XLOC_000570","AGO3",0.000999999999999999,0.99676959593367,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00023151","XLOC_000570","AGO3",-0.0198,0.952988467423942,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00027397","XLOC_000570","AGO3",-0.0202333333333333,0.977427350795743,0.0438625729336258,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003281","XLOC_000697","DMAP1",-0.00173333333333334,0.996325727349036,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003283","XLOC_000697","DMAP1",0.0021,0.978726432579217,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003284","XLOC_000697","DMAP1",-0.00506666666666666,1,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003286","XLOC_000697","DMAP1",0.00106666666666667,0.945001443221406,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003290","XLOC_000697","DMAP1",-0.170333333333333,0.143250649745148,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003291","XLOC_000697","DMAP1",0.0138666666666667,0.727898564850323,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00003293","XLOC_000697","DMAP1",0.0223,0.782598148835789,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00021641","XLOC_000697","DMAP1",0.115833333333333,0.00210406304347888,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00024754","XLOC_000697","DMAP1",0.0108,0.807312289389779,0.00210406304347888,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004251","XLOC_000926","MIER1",-0.0306,0.720652932986542,9.01715274247998e-06,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004255","XLOC_000926","MIER1",-0.110466666666667,9.01715274247998e-06,9.01715274247998e-06,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004257","XLOC_000926","MIER1",-0.000366666666666654,0.988840976917968,9.01715274247998e-06,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004258","XLOC_000926","MIER1",0.163933333333333,0.0707226438126588,9.01715274247998e-06,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00021688","XLOC_000926","MIER1",-0.00796666666666667,0.972756457406716,9.01715274247998e-06,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00024888","XLOC_000926","MIER1",-0.00273333333333333,0.930330296472908,9.01715274247998e-06,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004780","XLOC_001033","PRKACB",0.142133333333333,0.30692589399405,0.0399997471634164,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004781","XLOC_001033","PRKACB",0.00243333333333333,0.987751356121868,0.0399997471634164,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00004783","XLOC_001033","PRKACB",-0.186766666666667,0.0399997471634164,0.0399997471634164,TRUE,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,
"TCONS_00004789","XLOC_001033","PRKACB",0.0989666666666667,0.776809459570832,0.0399997471634164,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00021712","XLOC_001033","PRKACB",-0.0109,0.909049687617228,0.0399997471634164,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00021715","XLOC_001033","PRKACB",-0.0395666666666667,0.950488237811792,0.0399997471634164,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00005874","XLOC_001285","CTTNBP2NL",-0.221033333333333,0.000771625932603552,0.000771625932603552,TRUE,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,
"TCONS_00005875","XLOC_001285","CTTNBP2NL",0.0278333333333333,0.697595060823305,0.000771625932603552,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00005877","XLOC_001285","CTTNBP2NL",0.0203,0.784336661894409,0.000771625932603552,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
"TCONS_00021809","XLOC_001285","CTTNBP2NL",0.0296333333333333,0.148124604739794,0.000771625932603552,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
