"isoform_id","gene_id","gene_name","T_dIF_n","T_q_i","T_q_g","T_is_switching","H_dIF_n","H_q_i","H_q_g","H_is_switching","in_T","in_H","T_significant","H_significant","present_in_both","same_direction","abs_dIF_delta","tested_in_H","tested_in_T","H_ctx_dIF","H_ctx_IF1","H_ctx_IF2","H_ctx_q","T_ctx_dIF","T_ctx_IF1","T_ctx_IF2","T_ctx_q","H_dIF_used","same_direction_ctx","H_passes_significance","overlap_note"
"TCONS_00239734","XLOC_045300","NCOA7",0.652166666666667,4.48137893502852e-113,4.48137893502852e-113,TRUE,0.522466666666667,2.17136794101734e-06,5.41945478936502e-11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.1297,TRUE,TRUE,0.522466666666667,0.361033333333333,0.8835,2.17136794101734e-06,0.652166666666667,0.211866666666667,0.864033333333333,4.48137893502852e-113,0.522466666666667,TRUE,TRUE,"Significant in H"
"TCONS_00161475","XLOC_030370","RBKS",0.4654,1.30632721409472e-10,1.30632721409472e-10,TRUE,0.0980333333333334,0.997394120339627,0.927892387909478,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.367366666666667,TRUE,TRUE,0.0980333333333334,0.8582,0.956233333333333,0.997394120339627,0.4654,0.1405,0.6059,1.30632721409472e-10,0.0980333333333334,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00161472","XLOC_030370","RBKS",-0.428233333333333,9.37936130902673e-08,1.30632721409472e-10,TRUE,-0.0889333333333333,0.965542362006125,0.927892387909478,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.3393,TRUE,TRUE,-0.0889333333333333,0.120533333333333,0.0316,0.965542362006125,-0.428233333333333,0.778233333333333,0.35,9.37936130902673e-08,-0.0889333333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00151268","XLOC_028123","RSAD2",0.3671,3.22779548397385e-15,3.22779548397385e-15,TRUE,0.205866666666667,1,1.7629320088007e-15,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.161233333333333,TRUE,TRUE,0.205866666666667,0.583266666666667,0.789133333333333,1,0.3671,0.202933333333333,0.570033333333333,3.22779548397385e-15,0.205866666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00194764","XLOC_036495","CD86",0.3443,1.49119660575529e-17,1.49119660575529e-17,TRUE,0.000666666666666667,0.976806550621302,2.03173106815838e-11,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.343633333333333,TRUE,TRUE,0.000666666666666667,0,0.000666666666666667,0.976806550621302,0.3443,0.00956666666666667,0.353866666666667,1.49119660575529e-17,0.000666666666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00114648","XLOC_021587","KDM6B",0.304066666666667,0.0281126578516669,0.00587836169175505,TRUE,0.0632666666666666,1,0.853947854311984,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.2408,TRUE,TRUE,0.0632666666666666,0.558966666666667,0.622233333333333,1,0.304066666666667,0.341633333333333,0.6457,0.0281126578516669,0.0632666666666666,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00207289","XLOC_038662","RUBCN",-0.294733333333333,5.03952099406259e-07,5.03952099406259e-07,TRUE,0.0119666666666667,1,0.0677813339116106,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.3067,TRUE,TRUE,0.0119666666666667,0.120833333333333,0.1328,1,-0.294733333333333,0.2953,0.000566666666666667,5.03952099406259e-07,0.0119666666666667,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00068278","XLOC_013030","KITLG",0.294333333333333,0.00168309984875841,0.00168309984875841,TRUE,-0.0282,0.811157814130865,0.811157814130865,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.322533333333333,TRUE,TRUE,-0.0282,0.871233333333333,0.843033333333333,0.811157814130865,0.294333333333333,0.517766666666667,0.8121,0.00168309984875841,-0.0282,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00039729","XLOC_007508","IFITM2",0.289,3.61991580552096e-71,3.61991580552096e-71,TRUE,0.363,3.89343763484422e-05,3.89343763484422e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.074,TRUE,TRUE,0.363,0.0264666666666667,0.389466666666667,3.89343763484422e-05,0.289,0.0454333333333333,0.334433333333333,3.61991580552096e-71,0.363,TRUE,TRUE,"Significant in H"
"TCONS_00285540","XLOC_053671","DDX58",-0.281966666666667,2.87411374273144e-31,2.87411374273144e-31,TRUE,-0.0853,0.004187230600334,9.79962401936431e-07,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.196666666666667,TRUE,TRUE,-0.0853,0.0922333333333333,0.00693333333333333,0.004187230600334,-0.281966666666667,0.316233333333333,0.0342666666666667,2.87411374273144e-31,-0.0853,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00038546","XLOC_005992","IFIT1",0.2691,1.62436420243151e-16,1.22316300561408e-16,TRUE,0.1323,0.896454690282579,8.62660289277537e-06,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1368,TRUE,TRUE,0.1323,0.433966666666667,0.566266666666667,0.896454690282579,0.2691,0.258333333333333,0.527433333333333,1.62436420243151e-16,0.1323,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00013260","XLOC_003170","TMEM234",-0.2684,0.0026021966421161,0.0026021966421161,TRUE,-0.2981,0.0431815804609334,0.0431815804609334,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0297000000000001,TRUE,TRUE,-0.2981,0.558533333333333,0.260433333333333,0.0431815804609334,-0.2684,0.550866666666667,0.282466666666667,0.0026021966421161,-0.2981,TRUE,TRUE,"Significant in H"
"TCONS_00041705","XLOC_007960","ALKBH3",0.2671,2.46968200207789e-08,2.46968200207789e-08,TRUE,0.535033333333333,0.517917878538596,0.517917878538596,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.267933333333333,TRUE,TRUE,0.535033333333333,0.131633333333333,0.666666666666667,0.517917878538596,0.2671,0.0238333333333333,0.290933333333333,2.46968200207789e-08,0.535033333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00060450","XLOC_011323","IL23A",0.2664,9.75771050843367e-22,9.75771050843367e-22,TRUE,0.2161,0.88810788505925,0.514993530028456,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0503000000000001,TRUE,TRUE,0.2161,0.7772,0.9933,0.88810788505925,0.2664,0.727366666666667,0.993766666666667,9.75771050843367e-22,0.2161,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00179445","XLOC_033510","RGS19",0.262466666666667,9.54256527142605e-07,9.54256527142605e-07,TRUE,0.129933333333333,1,0.94433629665716,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.132533333333333,TRUE,TRUE,0.129933333333333,0.5345,0.664433333333333,1,0.262466666666667,0.494366666666667,0.756833333333333,9.54256527142605e-07,0.129933333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00247239","XLOC_046278","PLA2G7",-0.255733333333333,0.0167162931883611,0.0167162931883611,TRUE,0.00226666666666667,1,0.73824116373822,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.258,TRUE,TRUE,0.00226666666666667,0.200166666666667,0.202433333333333,1,-0.255733333333333,0.331033333333333,0.0753,0.0167162931883611,0.00226666666666667,FALSE,FALSE,"Tested in H, not switching"
"TCONS_00019593","XLOC_004716","PHLDA3",0.251133333333333,2.98344009874571e-05,2.98344009874571e-05,TRUE,0.0580666666666667,1,0.910838644066982,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.193066666666667,TRUE,TRUE,0.0580666666666667,0.301733333333333,0.3598,1,0.251133333333333,0.373866666666667,0.625,2.98344009874571e-05,0.0580666666666667,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00082765","XLOC_015708","RIN3",0.2494,0.0265314933047984,0.00139436540388941,TRUE,0.0854333333333333,1,0.997889540956415,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.163966666666667,TRUE,TRUE,0.0854333333333333,0.213933333333333,0.299366666666667,1,0.2494,0.349933333333333,0.599333333333333,0.0265314933047984,0.0854333333333333,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00238059","XLOC_044803","TMEM63B",-0.2477,4.34508810722785e-07,1.82524817003056e-11,TRUE,-0.1325,0.706964056914993,0.602622402517027,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1152,TRUE,TRUE,-0.1325,0.360233333333333,0.227733333333333,0.706964056914993,-0.2477,0.3724,0.1247,4.34508810722785e-07,-0.1325,TRUE,FALSE,"Tested in H, not switching"
"TCONS_00225601","XLOC_042338","ARHGAP26",-0.246866666666667,0.000317945859288863,1.78097856887777e-12,TRUE,-0.0948,1,0.117653600145143,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.152066666666667,TRUE,TRUE,-0.0948,0.301266666666667,0.206466666666667,1,-0.246866666666667,0.7016,0.454733333333333,0.000317945859288863,-0.0948,TRUE,FALSE,"Tested in H, not switching"
