"dataset","min_abs_dif","n_sig_isoforms","n_sig_genes"
"H_HT_supplementary",0,530,385
"T_HT_anchor",0,366,216
"T_UT",0,395,248
"U_UT",0,198,127
"H_HT_supplementary",0.05,504,385
"T_HT_anchor",0.05,342,216
"T_UT",0.05,361,248
"U_UT",0.05,184,127
"H_HT_supplementary",0.1,470,385
"T_HT_anchor",0.1,315,216
"T_UT",0.1,337,248
"U_UT",0.1,175,127
"H_HT_supplementary",0.15,323,272
"T_HT_anchor",0.15,173,130
"T_UT",0.15,204,163
"U_UT",0.15,106,84
"H_HT_supplementary",0.2,190,161
"T_HT_anchor",0.2,88,71
"T_UT",0.2,112,94
"U_UT",0.2,61,50
"H_HT_supplementary",0.25,120,106
"T_HT_anchor",0.25,42,37
"T_UT",0.25,60,52
"U_UT",0.25,38,31
"H_HT_supplementary",0.3,59,51
"T_HT_anchor",0.3,17,15
"T_UT",0.3,33,28
"U_UT",0.3,23,20
