"gene_name","n_datasets_HT","max_abs_dif_novel_switching_HT","max_n_novel_switching_HT","n_datasets_UT","max_abs_dif_novel_switching_UT","max_n_novel_switching_UT"
"IFITM2",2,0.363,1,1,0.289466666666667,1
"CD86",1,0.3443,1,1,0.300233333333333,2
"ZP3",2,0.300633333333333,1,1,0.228166666666667,1
"DDX58",1,0.281966666666667,2,1,0.2854,2
"IL23A",1,0.2664,1,2,0.584466666666667,2
"MERTK",2,0.263466666666667,1,1,0.172866666666667,1
"GBP1",1,0.239266666666667,1,1,0.185066666666667,1
"CCL3",1,0.234666666666667,2,2,0.292766666666667,2
"IPCEF1",1,0.2238,4,1,0.202766666666667,3
"JDP2",1,0.2092,1,1,0.2357,1
"NEMP1",1,0.2042,1,1,0.235066666666667,1
"TMIGD3",1,0.193933333333333,1,1,0.1529,1
"TMEM170B",1,0.1927,1,1,0.208566666666667,1
"CCL4",1,0.188466666666667,2,2,0.317466666666667,2
"CLEC4G",1,0.177166666666667,1,1,0.160266666666667,1
"PYM1",1,0.177133333333333,1,1,0.1764,1
"ACP3",1,0.1734,1,1,0.1536,1
"USP18",2,0.173066666666667,1,1,0.165566666666667,1
"EVI2B",1,0.1712,1,1,0.153266666666667,1
"SYNJ2",1,0.1659,1,1,0.180266666666667,1
"PCSK7",1,0.164566666666667,1,1,0.1571,1
"FSD1L",1,0.1601,1,1,0.1978,1
"RAB7B",1,0.154033333333333,1,1,0.1741,2
