"dataset_label","novelty","class_code","is_switching","n"
"H_HT_supplementary","known","=",FALSE,1633
"H_HT_supplementary","known","=",TRUE,156
"H_HT_supplementary","novel_PB","j",FALSE,461
"H_HT_supplementary","novel_PB","c",FALSE,430
"H_HT_supplementary","novel_PB","=",FALSE,190
"H_HT_supplementary","novel_PB","c",TRUE,80
"H_HT_supplementary","novel_PB","j",TRUE,57
"H_HT_supplementary","novel_PB","n",FALSE,28
"H_HT_supplementary","novel_PB","=",TRUE,27
"H_HT_supplementary","novel_PB","m",FALSE,16
"H_HT_supplementary","novel_PB","k",FALSE,11
"H_HT_supplementary","novel_PB","o",FALSE,6
"H_HT_supplementary","novel_PB","x",FALSE,3
"H_HT_supplementary","novel_PB","k",TRUE,2
"H_HT_supplementary","novel_PB","o",TRUE,1
"H_HT_supplementary","novel_PB","y",FALSE,1
"T_HT_anchor","known","=",FALSE,886
"T_HT_anchor","known","=",TRUE,107
"T_HT_anchor","novel_PB","j",FALSE,221
"T_HT_anchor","novel_PB","c",FALSE,168
"T_HT_anchor","novel_PB","=",FALSE,64
"T_HT_anchor","novel_PB","=",TRUE,25
"T_HT_anchor","novel_PB","c",TRUE,19
"T_HT_anchor","novel_PB","j",TRUE,18
"T_HT_anchor","novel_PB","m",FALSE,13
"T_HT_anchor","novel_PB","n",FALSE,13
"T_HT_anchor","novel_PB","k",FALSE,3
"T_HT_anchor","novel_PB","k",TRUE,1
"T_HT_anchor","novel_PB","m",TRUE,1
"T_HT_anchor","novel_PB","o",FALSE,1
"T_HT_anchor","novel_PB","o",TRUE,1
"T_HT_anchor","novel_PB","u",FALSE,1
"T_HT_anchor","novel_PB","u",TRUE,1
"T_UT","known","=",FALSE,901
"T_UT","known","=",TRUE,119
"T_UT","novel_PB","j",FALSE,273
"T_UT","novel_PB","c",FALSE,263
"T_UT","novel_PB","=",FALSE,83
"T_UT","novel_PB","c",TRUE,34
"T_UT","novel_PB","=",TRUE,25
"T_UT","novel_PB","j",TRUE,24
"T_UT","novel_PB","m",FALSE,11
"T_UT","novel_PB","i",FALSE,9
"T_UT","novel_PB","n",FALSE,9
"T_UT","novel_PB","x",FALSE,6
"T_UT","novel_PB","k",FALSE,5
"T_UT","novel_PB","o",FALSE,5
"T_UT","novel_PB","x",TRUE,2
"U_UT","known","=",FALSE,502
"U_UT","known","=",TRUE,58
"U_UT","novel_PB","j",FALSE,174
"U_UT","novel_PB","c",FALSE,118
"U_UT","novel_PB","=",FALSE,32
"U_UT","novel_PB","c",TRUE,19
"U_UT","novel_PB","u",FALSE,17
"U_UT","novel_PB","=",TRUE,13
"U_UT","novel_PB","j",TRUE,10
"U_UT","novel_PB","n",FALSE,7
"U_UT","novel_PB","m",FALSE,5
"U_UT","novel_PB","o",FALSE,3
"U_UT","novel_PB","k",FALSE,2
"U_UT","novel_PB","k",TRUE,2
"U_UT","novel_PB","n",TRUE,2
"U_UT","novel_PB","u",TRUE,2
