"analysis","gene","n_terms","n_distinct_driver_genes","n_terms_total","pct_of_terms"
"T_UT_switching","BMP4",4,9,4,100
"T_UT_switching","CCL22",4,9,4,100
"T_UT_switching","CCL3",4,9,4,100
"T_UT_switching","CCL4",4,9,4,100
"T_UT_switching","IL23A",4,9,4,100
"T_UT_switching","KITLG",4,9,4,100
"T_UT_switching","TNFSF4",4,9,4,100
"T_UT_switching","CD86",3,9,4,75
"T_UT_switching","UTS2",3,9,4,75
"UT_Shared_T_and_U_","CCL3",95,11,148,64.1891891891892
"UT_Shared_T_and_U_","IL23A",93,11,148,62.8378378378378
"UT_Shared_T_and_U_","CCL4",80,11,148,54.0540540540541
"UT_Shared_T_and_U_","TNFSF4",68,11,148,45.9459459459459
"UT_Shared_T_and_U_","CCL22",54,11,148,36.4864864864865
"UT_Shared_T_and_U_","UTS2",9,11,148,6.08108108108108
"UT_Shared_T_and_U_","RGS19",5,11,148,3.37837837837838
"UT_Shared_T_and_U_","RIN2",3,11,148,2.02702702702703
"UT_Shared_T_and_U_","KDM6B",2,11,148,1.35135135135135
"UT_Shared_T_and_U_","IPCEF1",1,11,148,0.675675675675676
"UT_Shared_T_and_U_","MGAT4A",1,11,148,0.675675675675676
"U_UT_switching","CCL22",10,8,10,100
"U_UT_switching","CCL3",10,8,10,100
"U_UT_switching","CCL4",10,8,10,100
"U_UT_switching","IL23A",6,8,10,60
"U_UT_switching","TNFSF4",6,8,10,60
"U_UT_switching","UTS2",3,8,10,30
"U_UT_switching","ZP3",3,8,10,30
"U_UT_switching","TNFRSF10A",2,8,10,20
