"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","analysis","source"
"GO:0002685","regulation of leukocyte migration","7/67","137/9333",0.0510948905109489,7.11744198714457,6.13351286166164,5.25820272532313e-05,0.0306363526815272,0.0286157275578564,"IL23A/KITLG/RIN3/CCL4/CCL3/PLA2G7/FUT7",7,"GO:BP","T_HT_switching","switching genes in T_HT"
"GO:0097529","myeloid leukocyte migration","7/67","138/9333",0.0507246376811594,7.06586632057106,6.10428961045579,5.50800351677566e-05,0.0306363526815272,0.0286157275578564,"IL23A/KITLG/RIN3/CCL4/CCL3/PLA2G7/FUT7",7,"GO:BP","T_HT_switching","switching genes in T_HT"
"GO:0002687","positive regulation of leukocyte migration","6/67","96/9333",0.0625,8.70615671641791,6.45337050765344,6.09072617923007e-05,0.0306363526815272,0.0286157275578564,"IL23A/KITLG/CCL4/CCL3/PLA2G7/FUT7",6,"GO:BP","T_HT_switching","switching genes in T_HT"
"GO:0048018","receptor ligand activity","7/80","142/9942",,,,0.000139225317533233,0.0171798113324079,0.0170878587293799,"UTS2/IL23A/KITLG/CCL22/CCL4/CCL3/CD86",7,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0030546","signaling receptor activator activity","7/80","146/9942",,,,0.000165506996243338,0.0171798113324079,0.0170878587293799,"UTS2/IL23A/KITLG/CCL22/CCL4/CCL3/CD86",7,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0030545","signaling receptor regulator activity","7/80","153/9942",,,,0.000221100720233416,0.0171798113324079,0.0170878587293799,"UTS2/IL23A/KITLG/CCL22/CCL4/CCL3/CD86",7,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0005125","cytokine activity","5/80","73/9942",,,,0.000291183242922168,0.0171798113324079,0.0170878587293799,"IL23A/KITLG/CCL22/CCL4/CCL3",5,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0048020","CCR chemokine receptor binding","3/80","18/9942",,,,0.000375260410723271,0.0177122913861384,0.0176174887560609,"CCL22/CCL4/CCL3",3,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0008009","chemokine activity","3/80","22/9942",,,,0.000691978749206638,0.0272178308021277,0.0270721510654527,"CCL22/CCL4/CCL3",3,"GO:MF","T_UT_switching","switching genes in T_UT"
"R-HSA-6783783","Interleukin-10 signaling","4/52","33/6535",,,,0.000123012685782197,0.0332134251611932,0.0293935575500618,"CCL22/CCL4/CCL3/CD86",4,"Reactome","T_UT_switching","switching genes in T_UT"
"GO:0072677","eosinophil migration","3/15","10/9398",,,,3.92159184171788e-07,0.00021490323292614,0.000139113310595676,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0030593","neutrophil chemotaxis","4/15","54/9398",,,,1.26804733249637e-06,0.000347444969104004,0.000224911553184882,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0071621","granulocyte chemotaxis","4/15","65/9398",,,,2.68675743890068e-06,0.000490781025505858,0.000317697283126151,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1990266","neutrophil migration","4/15","70/9398",,,,3.62153168838729e-06,0.000496149841309058,0.000321172678680662,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0097530","granulocyte migration","4/15","83/9398",,,,7.16998586195719e-06,0.000785830450470508,0.000508691628522015,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0002548","monocyte chemotaxis","3/15","28/9398",,,,1.05227772126106e-05,0.000961080318751764,0.000622136126429782,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0048247","lymphocyte chemotaxis","3/15","31/9398",,,,1.43968273517497e-05,0.00112706591267983,0.000729583581584909,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0070098","chemokine-mediated signaling pathway","3/15","33/9398",,,,1.74412857759096e-05,0.00119472807564981,0.000773383329800202,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1990868","response to chemokine","3/15","39/9398",,,,2.9047162706794e-05,0.00159178451633231,0.00103040987707259,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1990869","cellular response to chemokine","3/15","39/9398",,,,2.9047162706794e-05,0.00159178451633231,0.00103040987707259,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0048018","receptor ligand activity","5/15","123/9639",,,,8.45494231386327e-07,2.97603643662537e-05,1.90684256808948e-05,"CCL22/IL23A/CCL4/CCL3/UTS2",5,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0030546","signaling receptor activator activity","5/15","127/9639",,,,9.91353090438894e-07,2.97603643662537e-05,1.90684256808948e-05,"CCL22/IL23A/CCL4/CCL3/UTS2",5,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0048020","CCR chemokine receptor binding","3/15","14/9639",,,,1.09859797632602e-06,2.97603643662537e-05,1.90684256808948e-05,"CCL22/CCL4/CCL3",3,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0030545","signaling receptor regulator activity","5/15","134/9639",,,,1.29392888548929e-06,2.97603643662537e-05,1.90684256808948e-05,"CCL22/IL23A/CCL4/CCL3/UTS2",5,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0005125","cytokine activity","4/15","62/9639",,,,2.00886899183035e-06,3.69631894496785e-05,2.36835081142105e-05,"CCL22/IL23A/CCL4/CCL3",4,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0008009","chemokine activity","3/15","18/9639",,,,2.45360063193081e-06,3.76218763562724e-05,2.41055500680921e-05,"CCL22/CCL4/CCL3",3,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0042379","chemokine receptor binding","3/15","26/9639",,,,7.75959900060345e-06,0.000101983301150788,6.5343991584029e-05,"CCL22/CCL4/CCL3",3,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0005126","cytokine receptor binding","4/15","120/9639",,,,2.80485697590227e-05,0.000322558552228761,0.000206673671908589,"CCL22/IL23A/CCL4/CCL3",4,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0001664","G protein-coupled receptor binding","3/15","106/9639",,,,0.00053424124080159,0.00546113268374958,0.00349912391636129,"CCL22/CCL4/CCL3",3,"GO:MF","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"hsa04060","Cytokine-cytokine receptor interaction","4/9","94/4688",,,,1.76933659174652e-05,0.000424640782019166,0.000316618126944115,"CCL22/IL23A/CCL4/CCL3",4,"KEGG","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","3/9","37/4688",,,,3.68088290358028e-05,0.000441705948429634,0.000329342154530868,"CCL22/CCL4/CCL3",3,"KEGG","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"hsa04062","Chemokine signaling pathway","3/9","120/4688",,,,0.00122764838067306,0.00982118704538448,0.00732281490226036,"CCL22/CCL4/CCL3",3,"KEGG","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"hsa05323","Rheumatoid arthritis","2/9","51/4688",,,,0.00397868396973411,0.0238721038184047,0.0177993756540737,"IL23A/CCL3",2,"KEGG","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"hsa04620","Toll-like receptor signaling pathway","2/9","71/4688",,,,0.00760123830148327,0.0355868728821779,0.0265340718858344,"CCL4/CCL3",2,"KEGG","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"hsa04625","C-type lectin receptor signaling pathway","2/9","77/4688",,,,0.00889671822054447,0.0355868728821779,0.0265340718858344,"CCL22/IL23A",2,"KEGG","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"R-HSA-375276","Peptide ligand-binding receptors","4/10","49/6347",,,,6.36534046247334e-07,2.864403208113e-05,1.67508959538772e-05,"CCL22/CCL4/CCL3/UTS2",4,"Reactome","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","4/10","72/6347",,,,3.03712350377854e-06,6.40631758401292e-05,3.74638455205434e-05,"CCL22/CCL4/CCL3/UTS2",4,"Reactome","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
