"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross"
1,"NCOA7",0.652166666666667,2.8595842321317,"also changes expression","both annotations",TRUE,"also switches in H_HT",0.652166666666667,0.6734,0.522466666666667,2.8595842321317,2.73358754587748,122.357653873695,3,TRUE,TRUE,TRUE,TRUE,TRUE
2,"RBKS",0.4654,1.25876240658951,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.4654,0.4408,,1.25876240658951,1.31744325860813,15.3329232469518,2,TRUE,TRUE,TRUE,FALSE,TRUE
3,"THAP2",0.438533333333333,0.355440087699015,"also changes expression","both annotations",TRUE,"not testable in H_HT",0.438533333333333,0.4244,,0.355440087699015,0.496141036181169,25.0730428659719,1,TRUE,TRUE,TRUE,FALSE,FALSE
4,"LINC02611",0.4042,-1.36270389767151,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.4042,,-1.39564022161947,-1.36270389767151,,,FALSE,TRUE,TRUE,FALSE,FALSE
5,"RSAD2",0.3671,4.24416023962852,"also changes expression","both annotations",TRUE,"also switches in H_HT",0.3671,0.3374,0.163033333333333,4.24416023962852,4.53374878874756,66.6054758078063,3,TRUE,TRUE,TRUE,TRUE,TRUE
6,"CCL22",0.356333333333333,3.62953281418075,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.356333333333333,,3.50818274236919,3.62953281418075,,,FALSE,TRUE,TRUE,FALSE,TRUE
7,"CD86",0.3443,0.0910286280408065,"cryptic (DE would miss it)","both annotations",TRUE,"tested in H_HT, not switching",0.3443,0.435666666666667,,0.0910286280408065,0.726185481501296,16.0998409667209,1,TRUE,TRUE,TRUE,FALSE,TRUE
8,"MREG",0.318433333333333,0.533385294166751,"also changes expression","both annotations",TRUE,"not testable in H_HT",0.318433333333333,0.332966666666667,,0.533385294166751,0.690901471652284,14.8840041020161,2,TRUE,TRUE,TRUE,FALSE,FALSE
9,"KDM6B",0.304066666666667,2.73065119752415,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.304066666666667,0.303933333333333,,2.73065119752415,2.8311712935798,88.1606526246569,2,TRUE,TRUE,TRUE,FALSE,TRUE
10,"RUBCN",0.294733333333333,1.11659050872553,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.294733333333333,,,1.11659050872553,1.21543565555542,22.5190214825669,1,TRUE,FALSE,TRUE,FALSE,TRUE
11,"KITLG",0.294333333333333,0.718309719788152,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.294333333333333,0.2996,,0.718309719788152,0.810983248249507,15.1898793806093,1,TRUE,TRUE,TRUE,FALSE,TRUE
12,"IPCEF1",0.289966666666667,0.141021882397063,"cryptic (DE would miss it)","both annotations",TRUE,"tested in H_HT, not switching",0.289966666666667,0.275,,0.141021882397063,0.205414797066233,43.666486586311,5,TRUE,TRUE,TRUE,FALSE,TRUE
13,"IFITM2",0.289,0.766740329782652,"also changes expression","both annotations",TRUE,"also switches in H_HT",0.289,0.289466666666667,0.363,0.766740329782652,0.84476558181026,289.00121263262,1,TRUE,TRUE,TRUE,TRUE,TRUE
14,"DDX58",0.281966666666667,3.42232030748969,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.281966666666667,0.2854,,3.42232030748969,3.52232001184953,181.345004567139,3,TRUE,TRUE,TRUE,FALSE,TRUE
15,"GFPT2",0.279833333333333,3.37299660340929,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.279833333333333,,,3.37299660340929,,,FALSE,TRUE,TRUE,FALSE,FALSE
