"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","annotation_status","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","testable_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross","list_rank"
7,"CD86",0.3443,0.0910286280408065,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.3443,0.435666666666667,,0.0910286280408065,0.726185481501296,16.0998409667209,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1
12,"IPCEF1",0.289966666666667,0.141021882397063,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.289966666666667,0.275,,0.141021882397063,0.205414797066233,43.666486586311,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2
43,"PLD6",0.2215,0.168862378485861,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.2215,0.221833333333333,,0.168862378485861,0.245704248710331,23.0457351917712,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3
45,"CTTNBP2NL",0.221033333333333,-0.117525407825791,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.221033333333333,0.194233333333333,,-0.117525407825791,-0.0734414309055654,14.466461662933,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
54,"ATRN",0.207866666666667,-0.200120867767839,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","not testable in H_HT",0.207866666666667,0.207866666666667,,-0.200120867767839,-0.135708691078085,13.904928740681,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5
96,"ACP3",0.1734,-0.152352129126635,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","not testable in H_HT",0.1734,0.1536,,-0.152352129126635,-0.0942281405673972,152.434607472488,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6
118,"PCSK7",0.164566666666667,-0.100728027433389,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.164566666666667,0.1571,,-0.100728027433389,-0.0238136588460152,33.9368763709317,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7
127,"SOCS4",0.162233333333333,0.0152378237186601,"cryptic (DE would miss it)","both annotations",TRUE,"robust (called in both)","tested in H_HT, not switching",0.162233333333333,0.1795,,0.0152378237186601,0.04397221202631,13.6726498102496,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,8
19,"TMEM234",0.2684,-0.147222634083231,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","also switches in H_HT",0.2684,,0.2981,-0.147222634083231,-0.116632631183529,17.6057549304934,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,9
20,"ALKBH3",0.2671,-0.135609969135339,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.2671,,,-0.135609969135339,-0.514644368554453,37.208623687885,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10
25,"PHLDA3",0.251133333333333,-0.197386836835016,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.251133333333333,,,-0.197386836835016,0.254108616999275,84.4276988306364,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,11
34,"IRAK3",0.238166666666667,-0.0774197549616504,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in T_HT","not testable in H_HT",,0.238166666666667,,,-0.0774197549616504,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,12
38,"CCDC117",0.233266666666667,0.0511285753983946,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.233266666666667,,,0.0511285753983946,0.102679021615235,17.4346043281078,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,13
47,"LIG1",0.218666666666667,-0.194647255048949,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",,0.218666666666667,,-0.239789767400425,-0.194647255048949,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,14
48,"SAMD14",0.217633333333333,0.0747753087273765,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in T_HT","not testable in H_HT",,0.217633333333333,,,0.0747753087273765,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,15
49,"KATNA1",0.214433333333333,-0.226387541621089,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.214433333333333,,,-0.226387541621089,-0.0467721438084592,33.7580375197563,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,16
68,"RNASEH1",0.1878,-0.176346372410361,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.1878,,,-0.176346372410361,0.444604966075573,38.919063406393,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,17
69,"SPRING1",0.187766666666667,0.00488597836834782,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in both, called in one","not testable in H_HT",,0.187766666666667,,-0.257802608403672,0.00488597836834782,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,18
75,"UCHL3",0.184,0.0681357130726093,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.184,,,0.0681357130726093,0.080253504400064,74.48081467994,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,19
83,"PRKAR1B",0.177733333333333,0.0679369086239362,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","not testable in H_HT",0.177733333333333,,,0.0679369086239362,0.154602446106027,15.7106899690687,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,20
87,"TEX30",0.176833333333333,0.00688320551992881,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","not testable in H_HT",0.176833333333333,,,0.00688320551992881,0.0251979149819944,24.5527384934358,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,21
94,"CBWD3",0.175133333333333,0.164777128518921,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.175133333333333,,,0.164777128518921,0.258657676557862,19.1191132039153,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,22
101,"DCUN1D4",0.1706,0.214604991187694,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in both, called in one","not testable in H_HT",,0.1706,,0.170585875023434,0.214604991187694,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,23
102,"WDR33",0.170533333333333,0.0606222138406542,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.170533333333333,,,0.0606222138406542,0.350295400185611,28.1318912851854,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,24
112,"GTF3C6",0.166866666666667,0.182198259278513,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.166866666666667,,,0.182198259278513,0.285017221051725,280.838963311512,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,25
115,"SORT1",0.165833333333333,-0.0740701365595194,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",,0.165833333333333,,-0.228005766083355,-0.0740701365595194,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,26
117,"C5orf51",0.164933333333333,-0.193405681207888,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.164933333333333,,,-0.193405681207888,0.298557676418079,29.9453802596217,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,27
123,"R3HCC1L",0.162866666666667,-0.113633661148789,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in T_HT","tested in H_HT, not switching",,0.162866666666667,,,-0.113633661148789,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,28
125,"ZDHHC21",0.162666666666667,0.00805187424735245,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in T_HT","not testable in H_HT",,0.162666666666667,,,0.00805187424735245,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,29
132,"ITSN1",0.159733333333333,-0.172867485182651,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in T_HT","not testable in H_HT",,0.159733333333333,,,-0.172867485182651,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30
140,"AGPAT3",0.154633333333333,0.175825346880234,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in both, called in one","also switches in H_HT",,0.154633333333333,0.2005,0.0929771552184526,0.175825346880234,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,31
142,"AMIGO3",0.154533333333333,-0.179148545772422,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.154533333333333,,,-0.179148545772422,-0.190593485652239,23.6809916122071,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,32
149,"PBX2",0.153266666666667,-0.0742817424210938,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.153266666666667,,,-0.0742817424210938,0.000123423280232588,608.240454214305,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,33
152,"RPUSD2",0.152266666666667,-0.206402745675931,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in T_HT","not testable in H_HT",,0.152266666666667,,,-0.206402745675931,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,34
153,"EHBP1",0.1514,-0.047160463414545,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in both, called in one","not testable in H_HT",,0.1514,,-0.104349269041695,-0.047160463414545,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,35
154,"PIGV",0.151233333333333,-0.0050168378220007,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","tested in H_HT, not switching",0.151233333333333,,,-0.0050168378220007,0.0520858787891053,18.571492310972,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,36
156,"GFOD2",0.150333333333333,0.0848630433251766,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in both, called in one","not testable in H_HT",0.150333333333333,,,0.0848630433251766,0.155139429748866,13.0341572115087,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,37
