"dataset","gene_id","gene_name","n_switching_isoforms","max_abs_dif_switching","max_abs_dif_all_isoforms","min_isoform_switch_q","novel_involved"
"H_HT_supplementary","XLOC_001925","RABGAP1L",3,0.4648,0.4648,1.02999240242851e-09,TRUE
"H_HT_supplementary","XLOC_052000","NIPAL2",3,0.237966666666667,0.237966666666667,6.60718819882144e-12,TRUE
"H_HT_supplementary","XLOC_045300","NCOA7",2,0.522466666666667,0.522466666666667,5.41945478936502e-11,FALSE
"H_HT_supplementary","XLOC_025784","IER2",2,0.438933333333333,0.438933333333333,3.44591246925931e-21,TRUE
"H_HT_supplementary","XLOC_003522","DOCK7",2,0.414666666666667,0.414666666666667,0.000724341040314165,TRUE
"H_HT_supplementary","XLOC_022602","SSTR2",2,0.390866666666667,0.390866666666667,0.00027236890885461,TRUE
"H_HT_supplementary","XLOC_010685","RHNO1",2,0.3792,0.3792,2.30042676080251e-10,TRUE
"H_HT_supplementary","XLOC_030435","PRKD3",2,0.378733333333333,0.378733333333333,2.80605699737198e-14,FALSE
"H_HT_supplementary","XLOC_030175","CMPK2",2,0.336866666666667,0.336866666666667,2.34953104433905e-09,TRUE
"H_HT_supplementary","XLOC_021883","TNFAIP1",2,0.298666666666667,0.298666666666667,0.000356106007451208,TRUE
"T_HT_anchor","XLOC_046969","IPCEF1",5,0.289966666666667,0.289966666666667,1.22955148118921e-36,TRUE
"T_HT_anchor","XLOC_045300","NCOA7",3,0.652166666666667,0.652166666666667,4.48137893502852e-113,TRUE
"T_HT_anchor","XLOC_028123","RSAD2",3,0.3671,0.3671,3.22779548397385e-15,TRUE
"T_HT_anchor","XLOC_053671","DDX58",3,0.281966666666667,0.281966666666667,2.87411374273144e-31,TRUE
"T_HT_anchor","XLOC_030370","RBKS",2,0.4654,0.4654,1.30632721409472e-10,FALSE
"T_HT_anchor","XLOC_031873","MREG",2,0.318433333333333,0.318433333333333,1.91547965223421e-14,FALSE
"T_HT_anchor","XLOC_021587","KDM6B",2,0.304066666666667,0.304066666666667,0.00587836169175505,FALSE
"T_HT_anchor","XLOC_005992","IFIT1",2,0.2691,0.2691,1.22316300561408e-16,TRUE
"T_HT_anchor","XLOC_011323","IL23A",2,0.2664,0.2664,9.75771050843367e-22,TRUE
"T_HT_anchor","XLOC_015708","RIN3",2,0.2494,0.2494,0.00139436540388941,FALSE
"T_UT","XLOC_047270","IPCEF1",4,0.275,0.275,1.10487437153054e-35,TRUE
"T_UT","XLOC_036709","CD86",3,0.435666666666667,0.435666666666667,3.46906245372081e-16,TRUE
"T_UT","XLOC_054002","DDX58",3,0.2854,0.2854,4.3336835926652e-31,TRUE
"T_UT","XLOC_030548","RBKS",2,0.4408,0.4408,4.79798428115364e-09,FALSE
"T_UT","XLOC_020026","CCL22",2,0.356333333333333,0.356333333333333,1.5126094294525e-08,TRUE
"T_UT","XLOC_028291","RSAD2",2,0.3374,0.3374,4.77425947136734e-11,FALSE
"T_UT","XLOC_011393","IL23A",2,0.313633333333333,0.313633333333333,1.4544418730257e-16,TRUE
"T_UT","XLOC_021732","KDM6B",2,0.303933333333333,0.303933333333333,0.00546170131469984,FALSE
"T_UT","XLOC_044425","GFPT2",2,0.279833333333333,0.279833333333333,0.000143401493531558,TRUE
"T_UT","XLOC_034994","TIMP3",2,0.269066666666667,0.269066666666667,2.50386935760562e-33,TRUE
"U_UT","XLOC_020026","CCL22",2,0.882166666666667,0.882166666666667,4.16598358527018e-57,TRUE
"U_UT","XLOC_011393","IL23A",2,0.584466666666667,0.584466666666667,7.43628023104631e-11,TRUE
"U_UT","XLOC_025627","FSTL3",2,0.437166666666667,0.437166666666667,8.3822380359698e-09,FALSE
"U_UT","XLOC_017653","AQP9",2,0.324266666666667,0.324266666666667,1.17400972942361e-07,TRUE
"U_UT","XLOC_022194","CCL4",2,0.317466666666667,0.317466666666667,4.22632530270415e-67,TRUE
"U_UT","XLOC_032056","MREG",2,0.308733333333333,0.308733333333333,6.86365272940461e-06,FALSE
"U_UT","XLOC_023567","CCL3",2,0.292766666666667,0.292766666666667,4.54506902626308e-33,TRUE
"U_UT","XLOC_033712","RGS19",2,0.288566666666667,0.288566666666667,2.35596008910758e-10,FALSE
"U_UT","XLOC_002833","UTS2",2,0.2337,0.2337,6.49906555914609e-35,TRUE
"U_UT","XLOC_049326","FIGNL1",2,0.2121,0.2121,0.00160115505601787,FALSE
