"gene_name","sw_A","dif_A","floor_A","sw_B","dif_B","floor_B","other_dif","other_floor","reason"
"HESX1",FALSE,0.284233333333333,FALSE,TRUE,0.226833333333333,TRUE,0.284233333333333,FALSE,"below the expression floor"
"IRAK3",FALSE,0.254766666666667,FALSE,TRUE,0.238166666666667,TRUE,0.254766666666667,FALSE,"below the expression floor"
"LINC02611",FALSE,0.243833333333333,TRUE,TRUE,0.4042,TRUE,0.243833333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"DGKA",FALSE,0.2436,FALSE,TRUE,0.186933333333333,TRUE,0.2436,FALSE,"below the expression floor"
"TRIM22",TRUE,0.1938,TRUE,FALSE,0.2368,TRUE,0.2368,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"IFIT3",TRUE,0.176166666666667,TRUE,FALSE,0.2279,TRUE,0.2279,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"SAMD14",FALSE,0.224866666666667,FALSE,TRUE,0.217633333333333,TRUE,0.224866666666667,FALSE,"below the expression floor"
"CHST15",FALSE,0.222266666666667,TRUE,TRUE,0.200633333333333,TRUE,0.222266666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"HELZ",TRUE,0.1757,TRUE,FALSE,0.222066666666667,TRUE,0.222066666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"LCMT1",TRUE,0.242266666666667,TRUE,FALSE,0.219066666666667,TRUE,0.219066666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"CBWD3",TRUE,0.233166666666667,TRUE,FALSE,0.218466666666667,TRUE,0.218466666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TFPI2",FALSE,0.2123,TRUE,TRUE,0.2711,TRUE,0.2123,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"TMEM52B",FALSE,0.197366666666667,TRUE,TRUE,0.248333333333333,TRUE,0.197366666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"RTN4RL2",FALSE,0.187533333333333,FALSE,TRUE,0.174,TRUE,0.187533333333333,FALSE,"below the expression floor"
"OSBPL7",FALSE,0.186833333333333,FALSE,TRUE,0.185966666666667,TRUE,0.186833333333333,FALSE,"below the expression floor"
"PRKACB",FALSE,0.186766666666667,FALSE,TRUE,0.2291,TRUE,0.186766666666667,FALSE,"below the expression floor"
"MOSMO",FALSE,0.185466666666667,FALSE,TRUE,0.185433333333333,TRUE,0.185466666666667,FALSE,"below the expression floor"
"SAP130",FALSE,0.185033333333333,TRUE,TRUE,0.186566666666667,TRUE,0.185033333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"R3HCC1L",FALSE,0.1834,FALSE,TRUE,0.162866666666667,TRUE,0.1834,FALSE,"below the expression floor"
"SOX5",FALSE,0.175733333333333,FALSE,TRUE,0.170966666666667,TRUE,0.175733333333333,FALSE,"below the expression floor"
"MYZAP",FALSE,0.173466666666667,TRUE,TRUE,0.192266666666667,TRUE,0.173466666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"SLC35A5",FALSE,0.172933333333333,FALSE,TRUE,0.1824,TRUE,0.172933333333333,FALSE,"below the expression floor"
"PRKAR1B",TRUE,0.177733333333333,TRUE,FALSE,0.168833333333333,TRUE,0.168833333333333,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"ZDHHC21",FALSE,0.162933333333333,FALSE,TRUE,0.162666666666667,TRUE,0.162933333333333,FALSE,"below the expression floor"
"WDR33",TRUE,0.170533333333333,TRUE,FALSE,0.1624,TRUE,0.1624,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"HACD4",FALSE,0.160366666666667,TRUE,TRUE,0.164033333333333,TRUE,0.160366666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"SLITRK4",TRUE,0.153566666666667,TRUE,FALSE,0.1599,TRUE,0.1599,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"ITSN1",FALSE,0.1571,FALSE,TRUE,0.159733333333333,TRUE,0.1571,FALSE,"below the expression floor"
"SEC14L2",FALSE,0.156666666666667,TRUE,TRUE,0.1682,TRUE,0.156666666666667,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"IFIT1",TRUE,0.2691,TRUE,FALSE,0.1551,TRUE,0.1551,TRUE,"clearly absent (|dIF| < 0.1, above floor)"
"PTGFRN",FALSE,0.150266666666667,FALSE,TRUE,0.183033333333333,TRUE,0.150266666666667,FALSE,"below the expression floor"
"MMS22L",FALSE,0.1498,FALSE,TRUE,0.175433333333333,TRUE,0.1498,FALSE,"below the expression floor"
