"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","novel_involved","has_multi_isoform_opposing_switch","dataset_key","dataset_label","rank"
"XLOC_030548","RBKS",11,2,0,1,1,0.4408,4.79798428115364e-09,4.79798428115364e-09,FALSE,TRUE,"T_UT","T_UT",1
"XLOC_036709","CD86",13,3,2,2,1,0.435666666666667,3.46906245372081e-16,3.46906245372081e-16,TRUE,TRUE,"T_UT","T_UT",2
"XLOC_020026","CCL22",7,2,2,1,1,0.356333333333333,0.000699466257823758,1.5126094294525e-08,TRUE,TRUE,"T_UT","T_UT",3
"XLOC_028291","RSAD2",13,2,0,1,1,0.3374,4.77425947136734e-11,4.77425947136734e-11,FALSE,TRUE,"T_UT","T_UT",4
"XLOC_011393","IL23A",10,2,2,1,1,0.313633333333333,1.4544418730257e-16,1.4544418730257e-16,TRUE,TRUE,"T_UT","T_UT",5
"XLOC_021732","KDM6B",4,2,0,1,1,0.303933333333333,0.00546170131469984,0.00546170131469984,FALSE,TRUE,"T_UT","T_UT",6
"XLOC_054002","DDX58",30,3,2,1,2,0.2854,4.3336835926652e-31,4.3336835926652e-31,TRUE,TRUE,"T_UT","T_UT",7
"XLOC_044425","GFPT2",7,2,1,1,1,0.279833333333333,0.000143401493531558,0.000143401493531558,TRUE,TRUE,"T_UT","T_UT",8
"XLOC_047270","IPCEF1",30,4,3,2,2,0.275,1.10487437153054e-35,1.10487437153054e-35,TRUE,TRUE,"T_UT","T_UT",9
"XLOC_034994","TIMP3",5,2,2,1,1,0.269066666666667,2.50386935760562e-33,2.50386935760562e-33,TRUE,TRUE,"T_UT","T_UT",10
"XLOC_015829","RIN3",10,2,0,1,1,0.261433333333333,0.00527542042283767,0.00113375249768,FALSE,TRUE,"T_UT","T_UT",11
"XLOC_021363","TXNL4B",6,2,2,1,1,0.246633333333333,0.00423308332153217,0.00423308332153217,TRUE,TRUE,"T_UT","T_UT",12
"XLOC_045100","TMEM63B",7,2,0,1,1,0.2444,5.90885727610786e-13,5.90885727610786e-13,FALSE,TRUE,"T_UT","T_UT",13
"XLOC_023567","CCL3",15,2,2,1,1,0.235966666666667,4.8847367717883e-13,4.8847367717883e-13,TRUE,TRUE,"T_UT","T_UT",14
"XLOC_023262","PLD6",11,2,0,1,1,0.221833333333333,1.53173602517477e-13,1.53173602517477e-13,FALSE,TRUE,"T_UT","T_UT",15
"XLOC_044564","TMEM170B",2,2,1,1,1,0.208566666666667,0.0159535927394519,0.0159535927394519,TRUE,TRUE,"T_UT","T_UT",16
"XLOC_032370","ATRN",3,2,0,1,1,0.207866666666667,0.00168476888914414,0.00168476888914414,FALSE,TRUE,"T_UT","T_UT",17
"XLOC_022194","CCL4",19,2,2,1,1,0.188233333333333,0.0133619137100073,0.0133619137100073,TRUE,TRUE,"T_UT","T_UT",18
"XLOC_002833","UTS2",50,2,1,1,1,0.176833333333333,2.91642037076382e-08,1.24739777170052e-16,TRUE,TRUE,"T_UT","T_UT",19
"XLOC_004829","RAB7B",13,2,2,1,1,0.1741,5.37144634117352e-16,5.37144634117352e-16,TRUE,TRUE,"T_UT","T_UT",20
"XLOC_031205","MGAT4A",11,2,1,1,1,0.171233333333333,1.26695268863155e-13,1.26695268863155e-13,TRUE,TRUE,"T_UT","T_UT",21
"XLOC_045594","NCOA7",17,1,0,1,0,0.6734,1.42752367215845e-192,1.42752367215845e-192,FALSE,FALSE,"T_UT","T_UT",22
"XLOC_011542","THAP2",14,1,0,1,0,0.4244,1.19037365991061e-26,1.19037365991061e-26,FALSE,FALSE,"T_UT","T_UT",23
"XLOC_031206","LINC02611",13,1,0,1,0,0.4042,0.00761373961383564,7.2867011531447e-10,FALSE,FALSE,"T_UT","T_UT",24
"XLOC_032056","MREG",7,1,0,0,1,0.332966666666667,8.20808647175758e-14,8.20808647175758e-14,FALSE,FALSE,"T_UT","T_UT",25
"XLOC_013120","KITLG",5,1,0,1,0,0.2996,0.00173799961736416,0.00173799961736416,FALSE,FALSE,"T_UT","T_UT",26
"XLOC_007559","IFITM2",33,1,1,1,0,0.289466666666667,3.6900810201612e-74,3.6900810201612e-74,TRUE,FALSE,"T_UT","T_UT",27
"XLOC_049673","TFPI2",9,1,1,1,0,0.2711,6.90380828699361e-06,6.90380828699361e-06,TRUE,FALSE,"T_UT","T_UT",28
"XLOC_034300","MRPL39",10,1,1,0,1,0.2652,0.011638537797416,0.00477894242671977,TRUE,FALSE,"T_UT","T_UT",29
"XLOC_033712","RGS19",4,1,0,1,0,0.2572,1.04890256890475e-06,1.04890256890475e-06,FALSE,FALSE,"T_UT","T_UT",30
"XLOC_012538","AMN1",18,1,1,1,0,0.250666666666667,1.80825723539619e-08,1.80825723539619e-08,TRUE,FALSE,"T_UT","T_UT",31
"XLOC_010885","TMEM52B",11,1,1,0,1,0.248333333333333,0.0410479466683336,0.00407615772223545,TRUE,FALSE,"T_UT","T_UT",32
"XLOC_042623","ARHGAP26",52,1,0,0,1,0.2461,0.00184343581426703,2.97770645601326e-12,FALSE,FALSE,"T_UT","T_UT",33
"XLOC_057326","LINC00278",13,1,0,0,1,0.241566666666667,0.000401045097099143,0.000401045097099143,FALSE,FALSE,"T_UT","T_UT",34
"XLOC_011494","IRAK3",6,1,0,0,1,0.238166666666667,0.000186618037190944,0.000186618037190944,FALSE,FALSE,"T_UT","T_UT",35
"XLOC_036676","POGLUT1",19,1,0,0,1,0.237233333333333,3.29909037379308e-13,3.29909037379308e-13,FALSE,FALSE,"T_UT","T_UT",36
"XLOC_015706","JDP2",7,1,1,1,0,0.2357,1.54119077094757e-24,1.54119077094757e-24,TRUE,FALSE,"T_UT","T_UT",37
"XLOC_012880","NEMP1",13,1,1,1,0,0.235066666666667,0.000217506339722001,1.02123312841288e-11,TRUE,FALSE,"T_UT","T_UT",38
"XLOC_001048","PRKACB",9,1,0,0,1,0.2291,0.0448245255355013,0.0448245255355013,FALSE,FALSE,"T_UT","T_UT",39
"XLOC_048112","ZP3",7,1,1,1,0,0.228166666666667,5.94207068345666e-05,5.94207068345666e-05,TRUE,FALSE,"T_UT","T_UT",40
"XLOC_037864","HESX1",7,1,1,0,1,0.226833333333333,0.000579728326065179,0.000579728326065179,TRUE,FALSE,"T_UT","T_UT",41
