"dataset_label","gene_id","gene_name","isoform_id","oId","class_code","cmp_ref","dIF","abs_dIF","isoform_switch_q","gene_switch_q"
"H_HT_supplementary","XLOC_019531","SLX1B","TCONS_00112614","PB.3741.1","c","ENST00000330181.9",0.596833333333333,0.596833333333333,0.00132001492472584,0.00132001492472584
"H_HT_supplementary","XLOC_056732","GPC3","TCONS_00294656","PB.10168.1","j","ENST00000394299.7",0.586866666666667,0.586866666666667,8.16550063963217e-09,8.16550063963217e-09
"H_HT_supplementary","XLOC_001925","RABGAP1L","TCONS_00008449","PB.844.1","=","ENST00000478442.5",0.4648,0.4648,1.02999240242851e-09,1.02999240242851e-09
"H_HT_supplementary","XLOC_025784","IER2","TCONS_00150814","PB.6237.1","c","ENST00000292433.4",-0.434366666666667,0.434366666666667,3.44591246925931e-21,3.44591246925931e-21
"H_HT_supplementary","XLOC_013822","TRIM13","TCONS_00074716","PB.2861.1","=","ENST00000378183.8",0.421933333333333,0.421933333333333,7.22823445306889e-08,7.22823445306889e-08
"H_HT_supplementary","XLOC_022602","SSTR2","TCONS_00128623","PB.4449.1","j","ENST00000579323.5",0.390866666666667,0.390866666666667,0.00027236890885461,0.00027236890885461
"H_HT_supplementary","XLOC_010685","RHNO1","TCONS_00070434","PB.2142.4","c","ENST00000366285.5",-0.3792,0.3792,2.30042676080251e-10,2.30042676080251e-10
"H_HT_supplementary","XLOC_007508","IFITM2","TCONS_00039729","PB.1537.1","=","ENST00000408968.4",0.363,0.363,3.89343763484422e-05,3.89343763484422e-05
"H_HT_supplementary","XLOC_028473","MSH6","TCONS_00172855","PB.6881.3","j","ENST00000652107.1",0.356166666666667,0.356166666666667,2.84965091202382e-09,2.84965091202382e-09
"H_HT_supplementary","XLOC_030175","CMPK2","TCONS_00173271","PB.6680.3","c","ENST00000256722.10",0.336866666666667,0.336866666666667,2.34953104433905e-09,2.34953104433905e-09
"H_HT_supplementary","XLOC_016209","MBIP","TCONS_00085339","PB.3002.1","=","ENST00000416007.9",-0.3144,0.3144,0.0120181213005733,0.0120181213005733
"H_HT_supplementary","XLOC_020178","USP10","TCONS_00113670","PB.5148.17","c","ENST00000570191.5",-0.301533333333333,0.301533333333333,1.60688642534409e-16,1.60688642534409e-16
"H_HT_supplementary","XLOC_047802","ZP3","TCONS_00252298","PB.8877.1","=","ENST00000467555.1",0.300633333333333,0.300633333333333,0.0352894357474678,0.0352894357474678
"H_HT_supplementary","XLOC_021883","TNFAIP1","TCONS_00115835","PB.6840.1","=","ENST00000226225.7",0.298666666666667,0.298666666666667,0.000356106007451208,0.000356106007451208
"H_HT_supplementary","XLOC_021883","TNFAIP1","TCONS_00129843","PB.5346.3","c","ENST00000226225.7",-0.294566666666667,0.294566666666667,0.00547964322441799,0.000356106007451208
