"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","has_opposing_direction_switches","has_multi_isoform_opposing_switch","rank","dataset_key","dataset_label","isoform_q_cutoff","gene_q_cutoff","min_abs_dif_cutoff"
"XLOC_045300","NCOA7",8,6,1,5,0.652166666666667,5.2019501148491e-153,5.2019501148491e-153,TRUE,TRUE,1,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_015796","WDR25",6,2,1,1,0.567833333333333,1.24028925590526e-10,1.24028925590526e-10,TRUE,TRUE,2,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_030370","RBKS",5,2,1,1,0.4654,1.75102797653348e-12,1.75102797653348e-12,TRUE,TRUE,3,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_011473","THAP2",7,3,1,2,0.438533333333333,8.82928775226408e-36,8.82928775226408e-36,TRUE,TRUE,4,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_028123","RSAD2",10,5,2,3,0.3671,4.87126006106021e-20,4.87126006106021e-20,TRUE,TRUE,5,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_044995","SH3BGRL2",8,2,1,1,0.3214,3.98945235563398e-09,3.98945235563398e-09,TRUE,TRUE,6,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_031873","MREG",6,3,2,1,0.318433333333333,3.57357528346254e-13,3.57357528346254e-13,TRUE,TRUE,7,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_021587","KDM6B",3,2,1,1,0.304066666666667,0.0005770213616542,0.0005770213616542,TRUE,TRUE,8,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_046969","IPCEF1",9,6,4,2,0.289966666666667,1.39332275924064e-30,1.39332275924064e-30,TRUE,TRUE,9,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_007508","IFITM2",11,4,2,2,0.289,2.05730281510062e-89,2.05730281510062e-89,TRUE,TRUE,10,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_040996","SH3D19",7,2,1,1,0.284533333333333,0.000599894969204029,0.000599894969204029,TRUE,TRUE,11,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_026522","SIGLEC9",4,2,1,1,0.283966666666667,0.0142311959819847,0.0142311959819847,TRUE,TRUE,12,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_029618","PMS1",14,2,1,1,0.2823,7.16036971312021e-09,7.16036971312021e-09,TRUE,TRUE,13,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_053671","TOPORS",10,4,2,2,0.281966666666667,1.08267617469272e-36,1.08267617469272e-36,TRUE,TRUE,14,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_046278","PLA2G7",7,2,1,1,0.270866666666667,0.00861939876725383,0.00861939876725383,TRUE,TRUE,15,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_005992","IFIT5",9,3,1,2,0.2691,2.14102622024539e-22,2.14102622024539e-22,TRUE,TRUE,16,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_007960","ALKBH3",10,2,1,1,0.2671,7.31029437853444e-10,7.31029437853444e-10,TRUE,TRUE,17,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_011323","IL23A",3,2,1,1,0.2664,6.42513378184985e-128,6.42513378184985e-128,TRUE,TRUE,18,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_033510","RGS19",4,2,1,1,0.262466666666667,1.56028382643058e-09,1.56028382643058e-09,TRUE,TRUE,19,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_011424","IRAK3",5,2,1,1,0.254766666666667,2.87298911782658e-14,2.87298911782658e-14,TRUE,TRUE,20,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_004716","PHLDA3",4,2,1,1,0.251133333333333,1.05150104921314e-07,1.05150104921314e-07,TRUE,TRUE,21,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_015708","RIN3",9,4,3,1,0.2494,0.000793920389229282,0.000793920389229282,TRUE,TRUE,22,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_044803","TMEM63B",4,2,1,1,0.2477,1.91364876520816e-14,1.91364876520816e-14,TRUE,TRUE,23,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_019483","LCMT1",11,2,1,1,0.242266666666667,3.85325118686229e-05,3.85325118686229e-05,TRUE,TRUE,24,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_023406","CCL3",2,2,1,1,0.234666666666667,4.53665715980588e-19,4.53665715980588e-19,TRUE,TRUE,25,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_026542","ZNF175",4,2,1,1,0.226033333333333,5.27887914350289e-09,5.27887914350289e-09,TRUE,TRUE,26,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_021196","COG4",14,2,1,1,0.2253,1.40372234989751e-09,1.40372234989751e-09,TRUE,TRUE,27,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_023106","PLD6",7,2,1,1,0.2215,9.61433728944476e-11,9.61433728944476e-11,TRUE,TRUE,28,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_022554","PITPNC1",4,2,1,1,0.221233333333333,6.10171786526335e-05,6.10171786526335e-05,TRUE,TRUE,29,"T_HT","T_HT_anchor",0.05,0.05,0
"XLOC_049364","TFPI2",5,2,1,1,0.2123,0.00207061808330961,0.00207061808330961,TRUE,TRUE,30,"T_HT","T_HT_anchor",0.05,0.05,0
