"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","novel_involved","has_multi_isoform_opposing_switch","dataset_key","dataset_label","rank"
"XLOC_023195","ZNF18",6,2,0,1,1,0.6077,2.9239208785721e-14,2.9239208785721e-14,FALSE,TRUE,"T_UT","T_UT",1
"XLOC_030548","RBKS",8,2,0,1,1,0.4408,8.63077645685015e-12,8.63077645685015e-12,FALSE,TRUE,"T_UT","T_UT",2
"XLOC_036709","CD86",8,3,2,2,1,0.435666666666667,2.56002638280214e-12,2.56002638280214e-12,TRUE,TRUE,"T_UT","T_UT",3
"XLOC_008996","TLCD5",4,2,0,1,1,0.403066666666667,0.011825786020886,0.011825786020886,FALSE,TRUE,"T_UT","T_UT",4
"XLOC_028013","KLK1",3,2,2,1,1,0.369333333333333,0.000693672314573448,0.000693672314573448,TRUE,TRUE,"T_UT","T_UT",5
"XLOC_020026","CCL22",4,2,2,1,1,0.356333333333333,1.69937679328796e-06,1.43956395677891e-07,TRUE,TRUE,"T_UT","T_UT",6
"XLOC_028291","RSAD2",6,2,0,1,1,0.3374,1.19707698783538e-09,1.19707698783538e-09,FALSE,TRUE,"T_UT","T_UT",7
"XLOC_011393","IL23A",5,2,2,1,1,0.313633333333333,5.81084153231282e-28,5.81084153231282e-28,TRUE,TRUE,"T_UT","T_UT",8
"XLOC_016207","CEBPE",3,2,0,1,1,0.307833333333333,3.8268533871402e-08,3.8268533871402e-08,FALSE,TRUE,"T_UT","T_UT",9
"XLOC_021732","KDM6B",3,2,0,1,1,0.303933333333333,0.000787817682467859,0.000787817682467859,FALSE,TRUE,"T_UT","T_UT",10
"XLOC_045291","SH3BGRL2",8,2,1,1,1,0.288633333333333,1.08013110527317e-06,1.08013110527317e-06,TRUE,TRUE,"T_UT","T_UT",11
"XLOC_054002","TOPORS",10,3,2,1,2,0.2854,1.03910573457335e-32,1.03910573457335e-32,TRUE,TRUE,"T_UT","T_UT",12
"XLOC_041265","SH3D19",6,2,0,1,1,0.284833333333333,0.00096572244725111,0.00096572244725111,FALSE,TRUE,"T_UT","T_UT",13
"XLOC_044425","GFPT2",4,2,1,1,1,0.279833333333333,5.84450475090343e-05,5.84450475090343e-05,TRUE,TRUE,"T_UT","T_UT",14
"XLOC_047270","IPCEF1",11,4,3,2,2,0.275,1.83275224490228e-29,1.83275224490228e-29,TRUE,TRUE,"T_UT","T_UT",15
"XLOC_034994","TIMP3",3,2,2,1,1,0.269066666666667,8.54474554849503e-40,8.54474554849503e-40,TRUE,TRUE,"T_UT","T_UT",16
"XLOC_015829","RIN3",9,2,0,1,1,0.261433333333333,0.00108793886458013,0.00108793886458013,FALSE,TRUE,"T_UT","T_UT",17
"XLOC_033712","RGS19",4,2,0,1,1,0.2572,4.17973154265066e-09,4.17973154265066e-09,FALSE,TRUE,"T_UT","T_UT",18
"XLOC_028007","SYT3",4,2,0,1,1,0.2483,0.00469554652909407,0.00469554652909407,FALSE,TRUE,"T_UT","T_UT",19
"XLOC_026575","INAFM1",2,2,1,1,1,0.247366666666667,0.0323249159632635,0.0323249159632635,TRUE,TRUE,"T_UT","T_UT",20
"XLOC_021363","TXNL4B",5,2,2,1,1,0.246633333333333,0.00196818748141227,0.00196818748141227,TRUE,TRUE,"T_UT","T_UT",21
"XLOC_045100","TMEM63B",5,2,0,1,1,0.2444,2.63671632037402e-15,2.63671632037402e-15,FALSE,TRUE,"T_UT","T_UT",22
"XLOC_053493","SNX30",3,2,0,1,1,0.2442,2.0644311882522e-05,2.0644311882522e-05,FALSE,TRUE,"T_UT","T_UT",23
"XLOC_025863","ENSG00000274425",2,2,1,1,1,0.2439,0.00527369108922298,0.00527369108922298,TRUE,TRUE,"T_UT","T_UT",24
"XLOC_023567","CCL3",3,2,2,1,1,0.235966666666667,5.61215504485498e-20,5.61215504485498e-20,TRUE,TRUE,"T_UT","T_UT",25
"XLOC_015706","JDP2",6,2,1,1,1,0.2357,9.81373998389333e-30,9.81373998389333e-30,TRUE,TRUE,"T_UT","T_UT",26
"XLOC_026704","ZNF175",4,2,0,1,1,0.2233,2.16468547813701e-08,2.16468547813701e-08,FALSE,TRUE,"T_UT","T_UT",27
"XLOC_023262","PLD6",7,2,0,1,1,0.221833333333333,9.86066603716753e-11,9.86066603716753e-11,FALSE,TRUE,"T_UT","T_UT",28
"XLOC_044564","TMEM170B",2,2,1,1,1,0.208566666666667,0.00514281917354287,0.00514281917354287,TRUE,TRUE,"T_UT","T_UT",29
"XLOC_022194","CCL4",5,2,2,1,1,0.188233333333333,0.000328435123189006,0.000328435123189006,TRUE,TRUE,"T_UT","T_UT",30
