"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"CCL22","Shared (T and U)","XLOC_020026","XLOC_020026",4,2,0.356333333333333,0.882166666666667,0.525833333333333,1.43956395677891e-07,3.15525412609546e-69,TRUE,TRUE,TRUE,TRUE,8,1
"NCOA7","Shared (T and U)","XLOC_045594","XLOC_045594",6,4,0.6734,0.3771,-0.2963,1.25356438037034e-254,2.16011025888117e-07,TRUE,TRUE,TRUE,TRUE,1,4
"IL23A","Shared (T and U)","XLOC_011393","XLOC_011393",2,3,0.313633333333333,0.584466666666667,0.270833333333333,5.81084153231282e-28,8.40519374477622e-17,TRUE,TRUE,TRUE,TRUE,11,2
"RBKS","Shared (T and U)","XLOC_030548","XLOC_030548",2,1,0.4408,0.139666666666667,-0.301133333333333,8.63077645685015e-12,0.00127425782217146,FALSE,FALSE,TRUE,FALSE,3,99
"TNFSF4","Shared (T and U)","XLOC_004551","XLOC_004551",1,3,0.419966666666667,0.343966666666667,-0.0760000000000001,0.00229056956790722,5.7486059983822e-11,TRUE,TRUE,FALSE,TRUE,97,6
"KDM6B","Shared (T and U)","XLOC_021732","XLOC_021732",2,2,0.303933333333333,0.349433333333333,0.0454999999999999,0.000787817682467859,0.0110576302565346,FALSE,FALSE,TRUE,TRUE,13,5
"MREG","Shared (T and U)","XLOC_032056","XLOC_032056",3,3,0.332966666666667,0.308733333333333,-0.0242333333333333,1.78614178981197e-12,6.41642409669184e-06,FALSE,FALSE,TRUE,TRUE,10,11
"TMEM52B","Shared (T and U)","XLOC_010885","XLOC_010885",2,1,0.248333333333333,0.3242,0.0758666666666666,0.0178798740650283,0.00694414450801821,TRUE,TRUE,TRUE,FALSE,25,53
"CCL4","Shared (T and U)","XLOC_022194","XLOC_022194",2,3,0.188233333333333,0.317466666666667,0.129233333333333,0.000328435123189006,1.13743631208785e-96,TRUE,TRUE,TRUE,TRUE,47,9
"CCL3","Shared (T and U)","XLOC_023567","XLOC_023567",2,3,0.235966666666667,0.292766666666667,0.0568,5.61215504485498e-20,3.22891529763798e-57,TRUE,TRUE,TRUE,TRUE,32,13
"RGS19","Shared (T and U)","XLOC_033712","XLOC_033712",2,2,0.2572,0.288566666666667,0.0313666666666667,4.17973154265066e-09,2.60461280468907e-13,FALSE,FALSE,TRUE,TRUE,23,14
"TPMT","Shared (T and U)","XLOC_046117","XLOC_046117",1,1,0.154666666666667,0.2813,0.126633333333333,1.37420687784195e-15,3.07426198679476e-05,TRUE,TRUE,FALSE,FALSE,183,56
"IPCEF1","Shared (T and U)","XLOC_047270","XLOC_047270",7,2,0.275,0.238733333333333,-0.0362666666666666,1.83275224490228e-29,0.000397164125925945,TRUE,TRUE,TRUE,TRUE,19,18
"TMEM63B","Shared (T and U)","XLOC_045100","XLOC_045100",2,1,0.2444,0.228933333333333,-0.0154666666666667,2.63671632037402e-15,1.30895071084853e-14,FALSE,FALSE,TRUE,FALSE,29,64
