"gene_name","T_gene_id","T_n_switching","T_max_abs_dif","T_min_q","T_novel_involved","T_opposing","T_rank","U_gene_id","U_n_switching","U_max_abs_dif","U_min_q","U_novel_involved","U_opposing","U_rank","significant_in_T","significant_in_U","overlap_class","max_abs_dif_either","delta_max_abs_dif"
"CCL22","XLOC_020026",4,0.356333333333333,1.43956395677891e-07,TRUE,TRUE,8,"XLOC_020026",2,0.882166666666667,3.15525412609546e-69,TRUE,TRUE,1,TRUE,TRUE,"Shared (T and U)",0.882166666666667,0.525833333333333
"NCOA7","XLOC_045594",6,0.6734,1.25356438037034e-254,TRUE,TRUE,1,"XLOC_045594",4,0.3771,2.16011025888117e-07,TRUE,TRUE,4,TRUE,TRUE,"Shared (T and U)",0.6734,-0.2963
"IL23A","XLOC_011393",2,0.313633333333333,5.81084153231282e-28,TRUE,TRUE,11,"XLOC_011393",3,0.584466666666667,8.40519374477622e-17,TRUE,TRUE,2,TRUE,TRUE,"Shared (T and U)",0.584466666666667,0.270833333333333
"RBKS","XLOC_030548",2,0.4408,8.63077645685015e-12,FALSE,TRUE,3,"XLOC_030548",1,0.139666666666667,0.00127425782217146,FALSE,FALSE,99,TRUE,TRUE,"Shared (T and U)",0.4408,-0.301133333333333
"TNFSF4","XLOC_004551",1,0.419966666666667,0.00229056956790722,TRUE,FALSE,97,"XLOC_004551",3,0.343966666666667,5.7486059983822e-11,TRUE,TRUE,6,TRUE,TRUE,"Shared (T and U)",0.419966666666667,-0.0760000000000001
"KDM6B","XLOC_021732",2,0.303933333333333,0.000787817682467859,FALSE,TRUE,13,"XLOC_021732",2,0.349433333333333,0.0110576302565346,FALSE,TRUE,5,TRUE,TRUE,"Shared (T and U)",0.349433333333333,0.0454999999999999
"MREG","XLOC_032056",3,0.332966666666667,1.78614178981197e-12,FALSE,TRUE,10,"XLOC_032056",3,0.308733333333333,6.41642409669184e-06,FALSE,TRUE,11,TRUE,TRUE,"Shared (T and U)",0.332966666666667,-0.0242333333333333
"TMEM52B","XLOC_010885",2,0.248333333333333,0.0178798740650283,TRUE,TRUE,25,"XLOC_010885",1,0.3242,0.00694414450801821,TRUE,FALSE,53,TRUE,TRUE,"Shared (T and U)",0.3242,0.0758666666666666
"CCL4","XLOC_022194",2,0.188233333333333,0.000328435123189006,TRUE,TRUE,47,"XLOC_022194",3,0.317466666666667,1.13743631208785e-96,TRUE,TRUE,9,TRUE,TRUE,"Shared (T and U)",0.317466666666667,0.129233333333333
"CCL3","XLOC_023567",2,0.235966666666667,5.61215504485498e-20,TRUE,TRUE,32,"XLOC_023567",3,0.292766666666667,3.22891529763798e-57,TRUE,TRUE,13,TRUE,TRUE,"Shared (T and U)",0.292766666666667,0.0568
"RGS19","XLOC_033712",2,0.2572,4.17973154265066e-09,FALSE,TRUE,23,"XLOC_033712",2,0.288566666666667,2.60461280468907e-13,FALSE,TRUE,14,TRUE,TRUE,"Shared (T and U)",0.288566666666667,0.0313666666666667
"TPMT","XLOC_046117",1,0.154666666666667,1.37420687784195e-15,TRUE,FALSE,183,"XLOC_046117",1,0.2813,3.07426198679476e-05,TRUE,FALSE,56,TRUE,TRUE,"Shared (T and U)",0.2813,0.126633333333333
"IPCEF1","XLOC_047270",7,0.275,1.83275224490228e-29,TRUE,TRUE,19,"XLOC_047270",2,0.238733333333333,0.000397164125925945,TRUE,TRUE,18,TRUE,TRUE,"Shared (T and U)",0.275,-0.0362666666666666
"TMEM63B","XLOC_045100",2,0.2444,2.63671632037402e-15,FALSE,TRUE,29,"XLOC_045100",1,0.228933333333333,1.30895071084853e-14,FALSE,FALSE,64,TRUE,TRUE,"Shared (T and U)",0.2444,-0.0154666666666667
"UTS2","XLOC_002833",4,0.176833333333333,1.78089449082664e-10,TRUE,TRUE,50,"XLOC_002833",6,0.2337,2.37319292335412e-30,TRUE,TRUE,19,TRUE,TRUE,"Shared (T and U)",0.2337,0.0568666666666667
"RIN2","XLOC_032481",1,0.180766666666667,0.030842577630876,FALSE,FALSE,158,"XLOC_032481",1,0.2246,0.000301325584856569,FALSE,FALSE,66,TRUE,TRUE,"Shared (T and U)",0.2246,0.0438333333333333
"PLD6","XLOC_023262",2,0.221833333333333,9.86066603716753e-11,FALSE,TRUE,38,"XLOC_023262",2,0.127066666666667,0.000143708893052553,FALSE,TRUE,39,TRUE,TRUE,"Shared (T and U)",0.221833333333333,-0.0947666666666666
"FAM156A","XLOC_056546",1,0.104533333333333,2.39605411770111e-06,FALSE,FALSE,242,"XLOC_056546",1,0.2188,2.18231385302281e-15,FALSE,FALSE,68,TRUE,TRUE,"Shared (T and U)",0.2188,0.114266666666667
"KDM4A-AS1","XLOC_003349",1,0.210333333333333,7.66050553423514e-06,FALSE,FALSE,138,"XLOC_003349",1,0.160233333333333,7.55157600654267e-06,FALSE,FALSE,90,TRUE,TRUE,"Shared (T and U)",0.210333333333333,-0.0501
"SYNJ2","XLOC_045851",1,0.180266666666667,8.57394000475914e-05,TRUE,FALSE,159,"XLOC_045851",3,0.181233333333333,0.00230274194467558,TRUE,TRUE,25,TRUE,TRUE,"Shared (T and U)",0.181233333333333,0.000966666666666671
"MGAT4A","XLOC_031205",3,0.171233333333333,7.16036002217278e-16,TRUE,TRUE,52,"XLOC_031205",1,0.153666666666667,0.000516752013785854,FALSE,FALSE,93,TRUE,TRUE,"Shared (T and U)",0.171233333333333,-0.0175666666666667
"PEX26","XLOC_034635",4,0.155066666666667,0.00384416081787596,FALSE,TRUE,65,"XLOC_034635",2,0.105533333333333,0.0139068652742631,FALSE,FALSE,125,TRUE,TRUE,"Shared (T and U)",0.155066666666667,-0.0495333333333333
"GSDME","XLOC_049092",1,0.147966666666667,1.14821467496317e-09,FALSE,FALSE,189,"XLOC_049092",1,0.1441,0.0111525154795866,FALSE,FALSE,98,TRUE,TRUE,"Shared (T and U)",0.147966666666667,-0.00386666666666666
"PBX2","XLOC_046375",3,0.147333333333333,2.04389755972963e-12,TRUE,TRUE,74,"XLOC_046375",3,0.1252,6.93207868819508e-14,TRUE,TRUE,40,TRUE,TRUE,"Shared (T and U)",0.147333333333333,-0.0221333333333333
"NCF2","XLOC_004646",1,0.142266666666667,7.16587752572454e-05,TRUE,FALSE,197,"XLOC_004646",1,0.1132,0.0430587351338358,TRUE,FALSE,120,TRUE,TRUE,"Shared (T and U)",0.142266666666667,-0.0290666666666667
"PGM5","XLOC_053140",1,0.688766666666667,9.28127852614633e-09,FALSE,FALSE,92,,,,,,,,TRUE,FALSE,"T-only",0.688766666666667,
"ZNF18","XLOC_023195",2,0.6077,2.9239208785721e-14,FALSE,TRUE,2,,,,,,,,TRUE,FALSE,"T-only",0.6077,
"SYTL4","XLOC_056821",1,0.551133333333333,1.46774526288541e-09,TRUE,FALSE,93,,,,,,,,TRUE,FALSE,"T-only",0.551133333333333,
"PRKAG2-AS1","XLOC_048833",1,0.4897,0.0238654692324716,FALSE,FALSE,94,,,,,,,,TRUE,FALSE,"T-only",0.4897,
"LINGO1","XLOC_018925",1,0.4362,6.14864204821439e-06,FALSE,FALSE,95,,,,,,,,TRUE,FALSE,"T-only",0.4362,
