"isoform_id","gene_id","gene_name","oId","class_code","T_dIF","T_abs_dIF","T_q","T_gene_q","T_switching","T_novel","U_gene_id","U_gene_name","U_dIF","U_abs_dIF","U_q","U_gene_q","U_switching","U_novel","present_in_T","present_in_U","present_in_both","overlap_class","same_direction","delta_dIF","abs_delta_dIF"
"TCONS_00001391","XLOC_000332","CDA","ENST00000461985.1","=",0.00133333333333333,0.00133333333333333,0.998161431539877,0.038586546179063,FALSE,FALSE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00001392","XLOC_000332","CDA","PB.195.1","=",0.0513666666666666,0.0513666666666666,0.946676792468211,0.038586546179063,FALSE,TRUE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00027031","XLOC_000332","CDA","PB.197.1","j",0.108233333333333,0.108233333333333,0.88402433818588,0.038586546179063,FALSE,TRUE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00029778","XLOC_000332","CDA","PB.197.2","j",-0.160933333333333,0.160933333333333,0.038586546179063,0.038586546179063,TRUE,TRUE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"T-significant / missing in U",,,
"TCONS_00002540","XLOC_000574","AGO4","ENST00000373210.4","=",-0.191633333333333,0.191633333333333,0.0392160238918131,0.0392160238918131,TRUE,FALSE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"T-significant / missing in U",,,
"TCONS_00002541","XLOC_000574","AGO4","ENST00000488778.1","=",0.0261,0.0261,0.791754442188018,0.0392160238918131,FALSE,FALSE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00002542","XLOC_000574","AGO4","ENST00000496257.1","=",0.135166666666667,0.135166666666667,0.263814372431103,0.0392160238918131,FALSE,FALSE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00029848","XLOC_000574","AGO4","PB.392.1","c",0.0303666666666667,0.0303666666666667,0.826155150287102,0.0392160238918131,FALSE,TRUE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00003296","XLOC_000707","DMAP1","ENST00000361745.10","=",0.00126666666666667,0.00126666666666667,1,0.0104236252790435,FALSE,FALSE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
"TCONS_00003298","XLOC_000707","DMAP1","ENST00000440641.5","=",-0.0012,0.0012,0.946312450845199,0.0104236252790435,FALSE,FALSE,,,,,,,FALSE,,TRUE,FALSE,FALSE,"Non-significant / other",,,
