"isoform_id","gene_id","gene_name","oId","class_code","T_dIF","T_abs_dIF","T_q","T_gene_q","T_switching","T_novel","U_gene_id","U_gene_name","U_class_code","U_oId","U_dIF","U_abs_dIF","U_q","U_gene_q","U_switching","U_novel","present_in_T","present_in_U","present_in_both","is_novel_pb","tested_in_T","tested_in_U","overlap_class","same_direction","delta_dIF","abs_delta_dIF"
"TCONS_00111382","XLOC_020026","CCL22","PB.4996.2","=",0.356333333333333,0.356333333333333,0.000928517308824132,1.5126094294525e-08,TRUE,TRUE,"XLOC_020026","CCL22","=","PB.4996.2",0.882166666666667,0.882166666666667,4.16598358527018e-57,4.16598358527018e-57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Shared significant",TRUE,0.525833333333333,0.525833333333333
"TCONS_00119223","XLOC_020026","CCL22","PB.6379.3","j",-0.2364,0.2364,0.000699466257823758,1.5126094294525e-08,TRUE,TRUE,"XLOC_020026","CCL22","j","PB.6379.3",-0.779966666666667,0.779966666666667,4.42011173641755e-07,4.16598358527018e-57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Shared significant",TRUE,-0.543566666666667,0.543566666666667
"TCONS_00254331","XLOC_045594","NCOA7","ENST00000438495.6","=",0.6734,0.6734,1.42752367215845e-192,1.42752367215845e-192,TRUE,FALSE,"XLOC_045594","NCOA7","=","ENST00000438495.6",0.3771,0.3771,6.88455715723798e-06,6.88455715723798e-06,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Shared significant",TRUE,-0.2963,0.2963
"TCONS_00064570","XLOC_011393","IL23A","PB.4584.2","=",0.313633333333333,0.313633333333333,1.4544418730257e-16,1.4544418730257e-16,TRUE,TRUE,"XLOC_011393","IL23A","=","PB.4584.2",0.584466666666667,0.584466666666667,7.43628023104631e-11,7.43628023104631e-11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Shared significant",TRUE,0.270833333333333,0.270833333333333
"TCONS_00268164","XLOC_048112","ZP3","PB.14959.3","=",0.228166666666667,0.228166666666667,5.94207068345666e-05,5.94207068345666e-05,TRUE,TRUE,"XLOC_048112","ZP3","=","PB.14959.3",0.537433333333333,0.537433333333333,0.481434408828066,0.00028634546399243,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"T-significant / tested in U, not switching",TRUE,0.309266666666667,0.309266666666667
"TCONS_00130534","XLOC_023526","CCL1","PB.5407.1","=",,,,,FALSE,,"XLOC_023526","CCL1","=","PB.5407.1",0.470433333333333,0.470433333333333,0.000134481680448044,0.000134481680448044,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"U-significant / not detected in T",,,
"TCONS_00170566","XLOC_030548","RBKS","ENST00000453412.1","=",0.4408,0.4408,4.79798428115364e-09,4.79798428115364e-09,TRUE,FALSE,"XLOC_030548","RBKS","=","ENST00000453412.1",0.139666666666667,0.139666666666667,1.17996092456252e-06,1.17996092456252e-06,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"T-significant / tested in U, not switching",TRUE,-0.301133333333333,0.301133333333333
"TCONS_00144143","XLOC_025627","FSTL3","ENST00000166139.9","=",0.1032,0.1032,0.257331989453829,0.257331989453829,FALSE,FALSE,"XLOC_025627","FSTL3","=","ENST00000166139.9",0.437166666666667,0.437166666666667,8.3822380359698e-09,8.3822380359698e-09,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"U-significant / tested in T, not switching",TRUE,0.333966666666667,0.333966666666667
"TCONS_00206462","XLOC_036709","CD86","ENST00000330540.7","=",-0.435666666666667,0.435666666666667,1.95034557627817e-14,3.46906245372081e-16,TRUE,FALSE,"XLOC_036709","CD86","=","ENST00000330540.7",-0.256233333333333,0.256233333333333,0.00359380442635844,0.00359380442635844,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"T-significant / tested in U, not switching",TRUE,0.179433333333333,0.179433333333333
"TCONS_00065420","XLOC_011542","THAP2","ENST00000547843.1","=",0.4244,0.4244,1.19037365991061e-26,1.19037365991061e-26,TRUE,FALSE,"XLOC_011542","THAP2","=","ENST00000547843.1",0.1179,0.1179,0.0244794090004428,0.0216436780892454,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"T-significant / tested in U, not switching",TRUE,-0.3065,0.3065
"TCONS_00018922","XLOC_004551","TNFSF4","PB.1538.5","=",0.419966666666667,0.419966666666667,0.000183033932180252,0.000183033932180252,FALSE,TRUE,"XLOC_004551","TNFSF4","=","PB.1538.5",0.343966666666667,0.343966666666667,1.87050451930655e-07,8.44640629492964e-09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"U-significant / tested in T, not switching",TRUE,-0.0760000000000001,0.0760000000000001
