"stratum","n_ref","sw_ref","n_alt","sw_alt","pair","pct_ref","pct_alt"
"<0.1",1611,10,2726,9,"UT: WT vs UBL5 KO",0.620732464307883,0.33015407190022
"0.1-0.25",2101,13,3085,9,"UT: WT vs UBL5 KO",0.618752974773917,0.291734197730956
"0.25-0.5",2418,26,2240,10,"UT: WT vs UBL5 KO",1.0752688172043,0.446428571428571
"0.5-1",1964,34,838,14,"UT: WT vs UBL5 KO",1.73116089613035,1.67064439140811
">1",923,35,369,20,"UT: WT vs UBL5 KO",3.7919826652221,5.42005420054201
"<0.1",1329,10,1563,28,"HT: T vs H",0.752445447705041,1.7914267434421
"0.1-0.25",1925,15,1804,26,"HT: T vs H",0.779220779220779,1.44124168514412
"0.25-0.5",2317,21,1605,44,"HT: T vs H",0.906344410876133,2.74143302180685
"0.5-1",1794,20,928,39,"HT: T vs H",1.11482720178372,4.20258620689655
">1",788,29,537,32,"HT: T vs H",3.68020304568528,5.95903165735568
