gene,isoform,dIF,first_exons_disjoint,tss_distance_bp,first_exon_differs,last_exon_differs,internal_junction_differs,n_exons_sw,n_exons_partner,mode
AQP9,TCONS_00098383,0.324266666666667,False,118,True,True,True,6,2,proximal
BTBD19,TCONS_00003380,-0.190133333333333,False,73,True,False,True,8,4,proximal
CEP104,TCONS_00011740,0.274566666666667,True,185,True,False,True,22,23,proximal
ENTPD5,TCONS_00092003,0.165666666666667,False,111,True,True,True,16,4,proximal
ERO1B,TCONS_00021077,-0.278433333333333,True,6279,True,False,False,16,16,distal
FAM156A,TCONS_00309653,-0.2188,False,38,True,False,False,4,3,proximal
FIGNL1,TCONS_00273133,0.2019,False,0,False,False,True,3,4,proximal
FSTL3,TCONS_00144143,0.437166666666667,True,4315,True,True,True,5,3,distal
FSTL3,TCONS_00144146,-0.3737,True,4315,True,True,True,3,5,distal
IPCEF1,TCONS_00260841,-0.238733333333333,True,153311,True,True,True,12,22,distal
KDM6B,TCONS_00122000,-0.216866666666667,True,9990,True,True,True,24,2,distal
MGAT4A,TCONS_00173596,-0.153666666666667,True,66988,True,True,True,13,2,distal
MREG,TCONS_00177118,-0.308733333333333,True,68258,True,True,True,8,5,distal
MTUS1,TCONS_00285763,0.227866666666667,True,103424,True,True,True,10,15,distal
NCOA7,TCONS_00254331,0.3771,True,128264,True,False,True,6,16,distal
NET1,TCONS_00031817,-0.1665,True,34054,True,True,True,12,10,distal
OR2A20P,TCONS_00276619,0.152866666666667,False,165,True,True,True,5,6,proximal
P2RY8,TCONS_00308441,-0.1769,True,42832,True,True,False,2,2,distal
P2RY8,TCONS_00308442,0.1769,True,42832,True,True,False,2,2,distal
P2RY8,TCONS_00314770,-0.1769,True,42832,True,True,False,2,2,distal
P2RY8,TCONS_00314771,0.1769,True,42832,True,True,False,2,2,distal
PHIP,TCONS_00258559,-0.1562,True,95311,True,True,True,40,17,distal
PPP2R5B,TCONS_00046393,0.15,True,7136,True,True,True,14,4,distal
PSD3,TCONS_00285889,-0.171466666666667,True,230356,True,True,True,2,6,distal
RASSF5,TCONS_00009554,-0.159566666666667,True,49634,True,True,True,5,6,distal
RGS19,TCONS_00190138,-0.274633333333333,True,470,True,False,False,6,6,proximal
RGS19,TCONS_00190139,0.288566666666667,True,470,True,False,False,6,6,proximal
RHOF,TCONS_00073896,0.266533333333333,True,9222,True,True,True,5,4,distal
SLC43A2,TCONS_00128134,0.1561,True,23749,True,False,True,14,10,distal
SPECC1L,TCONS_00196541,-0.307266666666667,True,152787,True,True,True,16,3,distal
SYNJ2,TCONS_00255251,-0.181233333333333,False,175,True,True,True,4,27,proximal
TFEB,TCONS_00257713,0.1526,True,28461,True,False,True,10,9,distal
TMEM63B,TCONS_00252654,0.228933333333333,True,663,True,True,False,24,24,proximal
UBXN8,TCONS_00281540,0.156033333333333,True,11929,True,True,True,8,5,distal
UTS2,TCONS_00011940,0.2337,True,87774,True,True,True,8,4,distal
