gene,isoform,partner,dIF,partner_dIF,gene_expression,first_exon_differs,last_exon_differs,internal_junction_differs,first_exons_disjoint,last_exons_disjoint,tss_distance_bp,tes_distance_bp,same_tss_id,n_exons_sw,n_exons_partner,cc_sw,cc_partner,event_class
AQP9,TCONS_00098383,TCONS_00098382,0.324266666666667,-0.180766666666667,"<bound method Series.ge of gname                      AQP9
gene_id             XLOC_017653
isoform_id       TCONS_00098383
oId           ENST00000219919.9
cc                            =
dIF                    0.324267
is_sw                      True
ge                    12.304016
v1                     0.959576
v2                     9.470386
IF1                      0.5687
IF2                    0.892967
Name: 147, dtype: object>",True,True,True,False,True,118,39016,False,6,2,=,=,internal_splicing_only
BCL2A1,TCONS_00107515,TCONS_00104072,-0.175433333333333,0.0835666666666666,"<bound method Series.ge of gname                 BCL2A1
gene_id          XLOC_018964
isoform_id    TCONS_00107515
oId                PB.6818.6
cc                         c
dIF                -0.175433
is_sw                   True
ge                302.259333
v1                 14.829121
v2                 24.905869
IF1                   0.2735
IF2                 0.098067
Name: 152, dtype: object>",True,True,False,False,True,138,10008,False,1,2,c,=,terminal_other
BTBD19,TCONS_00003380,TCONS_00003382,-0.190133333333333,0.0831666666666667,"<bound method Series.ge of gname                    BTBD19
gene_id             XLOC_000716
isoform_id       TCONS_00003380
oId           ENST00000450269.6
cc                            =
dIF                   -0.190133
is_sw                      True
ge                    16.574487
v1                     4.873461
v2                     3.564884
IF1                      0.6121
IF2                    0.421967
Name: 0, dtype: object>",True,False,True,False,False,73,0,True,8,4,=,=,internal_splicing_only
CBR3,TCONS_00192649,TCONS_00195577,-0.175933333333333,0.175933333333333,"<bound method Series.ge of gname                      CBR3
gene_id             XLOC_033984
isoform_id       TCONS_00192649
oId           ENST00000290354.6
cc                            =
dIF                   -0.175933
is_sw                      True
ge                    20.956461
v1                     5.367021
v2                     6.589191
IF1                      0.6803
IF2                    0.504367
Name: 259, dtype: object>",True,True,False,True,False,2768,3,False,3,2,=,c,pure_promoter_switch
CBR3,TCONS_00195577,TCONS_00192649,0.175933333333333,-0.175933333333333,"<bound method Series.ge of gname                   CBR3
gene_id          XLOC_033984
isoform_id    TCONS_00195577
oId               PB.11995.1
cc                         c
dIF                 0.175933
is_sw                   True
ge                 20.956461
v1                  2.561971
v2                  6.438277
IF1                   0.3197
IF2                 0.495633
Name: 260, dtype: object>",True,True,False,True,False,2768,3,False,2,3,c,=,pure_promoter_switch
CCL1,TCONS_00130534,TCONS_00138253,0.470433333333333,-0.474166666666667,"<bound method Series.ge of gname                   CCL1
gene_id          XLOC_023526
isoform_id    TCONS_00130534
oId                PB.5407.1
cc                         =
dIF                 0.470433
is_sw                   True
ge                168.396613
v1                    6.4781
v2                146.381413
IF1                   0.4776
IF2                 0.948033
Name: 215, dtype: object>",False,True,False,False,False,0,1,True,3,4,=,k,terminal_other
CCL22,TCONS_00111382,TCONS_00119223,0.882166666666667,-0.779966666666667,"<bound method Series.ge of gname                  CCL22
gene_id          XLOC_020026
isoform_id    TCONS_00111382
oId                PB.4996.2
cc                         =
dIF                 0.882167
is_sw                   True
ge                 16.115851
v1                       0.0
v2                 13.291151
IF1                      0.0
IF2                 0.882167
Name: 158, dtype: object>",True,True,False,True,False,905,2,False,3,4,=,j,terminal_other
CCL22,TCONS_00119223,TCONS_00111382,-0.779966666666667,0.882166666666667,"<bound method Series.ge of gname                  CCL22
gene_id          XLOC_020026
isoform_id    TCONS_00119223
oId                PB.6379.3
cc                         j
dIF                -0.779967
is_sw                   True
ge                 16.115851
v1                  0.961053
v2                  1.285114
IF1                 0.864233
IF2                 0.084267
Name: 159, dtype: object>",True,True,False,True,False,905,2,False,4,3,j,=,terminal_other
CCL3,TCONS_00130712,TCONS_00130722,-0.258266666666667,0.292766666666667,"<bound method Series.ge of gname                   CCL3
gene_id          XLOC_023567
isoform_id    TCONS_00130712
oId                PB.5431.1
cc                         =
dIF                -0.258267
is_sw                   True
ge               3111.072481
v1                 65.848057
v2               1672.894486
IF1                 0.811667
IF2                   0.5534
Name: 218, dtype: object>",True,True,False,True,True,106591,106614,False,3,3,=,=,pure_promoter_switch
CCL3,TCONS_00130722,TCONS_00130712,0.292766666666667,-0.258266666666667,"<bound method Series.ge of gname                   CCL3
gene_id          XLOC_023567
isoform_id    TCONS_00130722
oId               PB.5431.20
cc                         =
dIF                 0.292767
is_sw                   True
ge               3111.072481
v1                  6.907571
v2               1146.757633
IF1                   0.0843
IF2                 0.377067
Name: 221, dtype: object>",True,True,False,True,True,106591,106614,False,3,3,=,=,pure_promoter_switch
CCL4,TCONS_00123817,TCONS_00123834,-0.317466666666667,0.2781,"<bound method Series.ge of gname                   CCL4
gene_id          XLOC_022194
isoform_id    TCONS_00123817
oId                PB.5430.1
cc                         =
dIF                -0.317467
is_sw                   True
ge                3751.64932
v1                 62.037835
v2               1985.356473
IF1                   0.8601
IF2                 0.542633
Name: 187, dtype: object>",True,True,False,True,True,107232,107257,False,3,3,=,=,pure_promoter_switch
CCL4,TCONS_00123834,TCONS_00123817,0.2781,-0.317466666666667,"<bound method Series.ge of gname                   CCL4
gene_id          XLOC_022194
isoform_id    TCONS_00123834
oId               PB.5430.21
cc                         =
dIF                   0.2781
is_sw                   True
ge                3751.64932
v1                  6.140215
v2               1348.997244
IF1                 0.085467
IF2                 0.363567
Name: 195, dtype: object>",True,True,False,True,True,107232,107257,False,3,3,=,=,pure_promoter_switch
CD72,TCONS_00303549,TCONS_00303548,-0.267066666666667,0.0975666666666667,"<bound method Series.ge of gname                   CD72
gene_id          XLOC_054071
isoform_id    TCONS_00303549
oId               PB.17791.2
cc                         j
dIF                -0.267067
is_sw                   True
ge                 12.010973
v1                  6.041481
v2                  0.747044
IF1                 0.614167
IF2                   0.3471
Name: 407, dtype: object>",True,True,True,False,True,28,39314,True,2,9,j,j,internal_splicing_only
CDK10,TCONS_00113524,TCONS_00113525,0.1758,-0.0461666666666667,"<bound method Series.ge of gname                     CDK10
gene_id             XLOC_020411
isoform_id       TCONS_00113524
oId           ENST00000625631.1
cc                            =
dIF                      0.1758
is_sw                      True
ge                    67.159355
v1                          0.0
v2                     6.168723
IF1                         0.0
IF2                      0.1758
Name: 167, dtype: object>",False,True,True,False,True,0,5760,True,2,11,=,=,internal_splicing_only
CDRT1,TCONS_00135886,TCONS_00136650,0.1623,-0.0795333333333333,"<bound method Series.ge of gname                  CDRT1
gene_id          XLOC_023226
isoform_id    TCONS_00135886
oId                PB.6772.3
cc                         c
dIF                   0.1623
is_sw                   True
ge                 13.265649
v1                  1.504314
v2                  3.383394
IF1                 0.274067
IF2                 0.436367
Name: 213, dtype: object>",True,True,True,True,False,19127,2,False,6,3,c,c,promoter_plus_internal
CEP104,TCONS_00011740,TCONS_00011751,0.274566666666667,-0.228466666666667,"<bound method Series.ge of gname                    CEP104
gene_id             XLOC_002795
isoform_id       TCONS_00011740
oId           ENST00000378230.8
cc                            =
dIF                    0.274567
is_sw                      True
ge                    14.652204
v1                     0.432296
v2                     2.435325
IF1                    0.058667
IF2                    0.333233
Name: 23, dtype: object>",True,False,True,True,False,185,0,False,22,23,=,=,internal_splicing_only
CHST10,TCONS_00179824,TCONS_00182589,-0.267866666666667,0.1479,"<bound method Series.ge of gname                 CHST10
gene_id          XLOC_031217
isoform_id    TCONS_00179824
oId                PB.9211.1
cc                         c
dIF                -0.267867
is_sw                   True
ge                  23.56746
v1                  6.627985
v2                  2.201545
IF1                 0.485333
IF2                 0.217467
Name: 247, dtype: object>",True,True,True,True,False,10691,8,False,5,7,c,j,promoter_plus_internal
COPZ2,TCONS_00137608,TCONS_00138315,0.153266666666667,-0.0733333333333334,"<bound method Series.ge of gname                  COPZ2
gene_id          XLOC_023878
isoform_id    TCONS_00137608
oId                PB.7743.2
cc                         c
dIF                 0.153267
is_sw                   True
ge                 34.809838
v1                       0.0
v2                  2.512223
IF1                      0.0
IF2                 0.153267
Name: 235, dtype: object>",True,True,True,True,False,4684,4,False,4,8,c,c,promoter_plus_internal
ENTPD5,TCONS_00092003,TCONS_00094772,0.165666666666667,-0.1796,"<bound method Series.ge of gname                     ENTPD5
gene_id              XLOC_016675
isoform_id        TCONS_00092003
oId           ENST00000334696.11
cc                             =
dIF                     0.165667
is_sw                       True
ge                     14.813093
v1                      4.018532
v2                      6.039536
IF1                     0.585767
IF2                     0.751433
Name: 142, dtype: object>",True,True,True,False,False,3,7,True,16,11,=,j,internal_splicing_only
ENTPD5,TCONS_00094772,TCONS_00092003,-0.1796,0.165666666666667,"<bound method Series.ge of gname                 ENTPD5
gene_id          XLOC_016675
isoform_id    TCONS_00094772
oId                PB.4063.1
cc                         j
dIF                  -0.1796
is_sw                   True
ge                 14.813093
v1                  1.100316
v2                  0.002888
IF1                 0.179933
IF2                 0.000333
Name: 144, dtype: object>",True,True,True,False,False,3,7,True,11,16,j,=,internal_splicing_only
