gene,isoform_id,oId,class_code,cmp_ref,chrom,strand,n_exons,tx_start,tx_end,span_bp,exonic_bp,TSS,TES,exons
RAB7B,TCONS_00019898,PB.1663.1,=,ENST00000617070.5,chr1,-,6,205976652,206003543,26892,3106,206003543,205976652,205976652-205978928;205985540-205985665;205992480-205992695;205993420-205993546;205994083-205994151;206003253-206003543
RAB7B,TCONS_00019899,ENST00000623597.3,=,ENST00000623597.3,chr1,-,6,205976741,205994423,17683,2330,205994423,205976741,205976741-205977258;205977927-205978928;205985540-205985665;205992480-205992695;205993420-205993546;205994083-205994423
RAB7B,TCONS_00019901,PB.1663.7,=,ENST00000623893.1,chr1,-,5,205976743,206003438,26696,2784,206003438,205976743,205976743-205978928;205992480-205992695;205993420-205993546;205994083-205994151;206003253-206003438
RAB7B,TCONS_00024990,PB.1663.8,c,ENST00000617070.5,chr1,-,3,205976743,205992586,15844,2419,205992586,205976743,205976743-205978928;205985540-205985665;205992480-205992586
RAB7B,TCONS_00024992,PB.1663.12,c,ENST00000617070.5,chr1,-,4,205978066,205993449,15384,1235,205993449,205978066,205978066-205978928;205985540-205985665;205992480-205992695;205993420-205993449
RAB7B,TCONS_00024994,PB.1663.18,j,ENST00000617070.5,chr1,-,4,205983745,205993547,9803,930,205993547,205983745,205983745-205984204;205985540-205985665;205992480-205992695;205993420-205993547
RAB7B,TCONS_00024995,PB.1802.8,j,ENST00000617070.5,chr1,-,6,205983556,206003423,19868,1358,206003423,205983556,205983556-205984204;205985540-205985665;205992480-205992695;205993420-205993546;205994083-205994151;206003253-206003423
RAB7B,TCONS_00029540,PB.1802.11,c,ENST00000617070.5,chr1,-,4,205992485,206003392,10908,547,206003392,205992485,205992485-205992695;205993420-205993546;205994083-205994151;206003253-206003392
RAB7B,TCONS_00031491,PB.1898.8,j,ENST00000617070.5,chr1,-,5,205991344,206003437,12094,977,206003437,205991344,205991344-205991723;205992480-205992695;205993420-205993546;205994083-205994151;206003253-206003437
IRAK3,TCONS_00065140,ENST00000545837.1,=,ENST00000545837.1,chr12,+,2,66189195,66198220,9026,1579,66189195,66198220,66189195-66189432;66196880-66198220
IRAK3,TCONS_00065141,ENST00000261233.9,=,ENST00000261233.9,chr12,+,12,66189214,66254622,65409,8328,66189214,66254622,66189214-66189432;66203711-66203893;66209456-66209520;66210147-66210201;66211446-66211597;66217171-66217235;66226723-66226837;66228252-66228370;66244486-66244684;66244948-66245010;66245098-66245262;66247695-66254622
SPRING1,TCONS_00073542,ENST00000261318.5,=,ENST00000261318.5,chr12,-,5,116710171,116738069,27899,8426,116738069,116710171,116710171-116717893;116719763-116719876;116720296-116720447;116723067-116723223;116737790-116738069
SPRING1,TCONS_00073543,ENST00000547630.1,=,ENST00000547630.1,chr12,-,4,116717070,116738070,21001,1371,116738070,116717070,116717070-116717893;116719763-116719876;116720296-116720447;116737790-116738070
SPRING1,TCONS_00073545,ENST00000547606.1,=,ENST00000547606.1,chr12,-,2,116717449,116737836,20388,492,116737836,116717449,116717449-116717893;116737790-116737836
SPRING1,TCONS_00077785,PB.4684.4,c,ENST00000261318.5,chr12,-,4,116717319,116723107,5789,882,116723107,116717319,116717319-116717893;116719763-116719876;116720296-116720447;116723067-116723107
IRAK3,TCONS_00078099,PB.4682.2,c,ENST00000261233.9,chr12,+,3,66244975,66248636,3662,1143,66244975,66248636,66244975-66245010;66245098-66245262;66247695-66248636
SPRING1,TCONS_00078614,PB.5028.2,c,ENST00000261318.5,chr12,-,3,116717342,116720433,3092,804,116720433,116717342,116717342-116717893;116719763-116719876;116720296-116720433
SOCS4,TCONS_00086549,ENST00000395472.2,=,ENST00000395472.2,chr14,+,2,55027230,55049488,22259,6779,55027230,55049488,55027230-55027471;55042952-55049488
SOCS4,TCONS_00086550,ENST00000555846.2,=,ENST00000555846.2,chr14,+,3,55027236,55049489,22254,6903,55027236,55049489,55027236-55027471;55031863-55031991;55042952-55049489
SOCS4,TCONS_00086552,ENST00000339298.2,=,ENST00000339298.2,chr14,+,2,55027627,55049486,21860,6667,55027627,55049486,55027627-55027758;55042952-55049486
SOCS4,TCONS_00095043,PB.5461.3,j,ENST00000555846.2,chr14,+,3,55027257,55049477,22221,2095,55027257,55049477,55027257-55027471;55042952-55044149;55048796-55049477
