"gene_name","lists","n_candidate_iso","n_designable","n_nested","max_unique_bp","class_codes","n_contained","gene_verdict"
"ATRN","cryptic",2,2,0,4396,"=",0,"both sides designable"
"PLD6","cryptic+response",2,2,0,1654,"=",0,"both sides designable"
"RBKS","response",2,2,0,273,"=",0,"both sides designable"
"KDM6B","response",2,2,0,147,"=",0,"both sides designable"
"SAMD14","cryptic",2,2,0,104,"=",0,"both sides designable"
"WDR33","cryptic",1,1,0,5526,"=",0,"one side designable"
"ZDHHC21","cryptic",1,1,0,4464,"=",0,"one side designable"
"IRAK3","cryptic",2,1,1,3465,"=,c",1,"one side designable"
"ACP3","cryptic",1,1,0,2670,"=",0,"one side designable"
"AGPAT3","cryptic",1,1,0,1056,"=",0,"one side designable"
"MREG","response",2,1,1,803,"=,c",1,"one side designable"
"THAP2","response",1,1,0,572,"=",0,"one side designable"
"RPUSD2","cryptic",1,1,0,494,"=",0,"one side designable"
"LIG1","cryptic",1,1,0,439,"=",0,"one side designable"
"PRKAR1B","cryptic",1,1,0,131,"=",0,"one side designable"
"RGS19","response",2,1,0,116,"=",0,"one side designable"
"NCOA7","response",1,1,0,81,"=",0,"one side designable"
"TMEM63B","response",2,1,0,80,"=",0,"one side designable"
"IL23A","response",2,1,0,75,"=,j",0,"one side designable"
"KITLG","response",2,1,0,72,"=",0,"one side designable"
"CBWD3","cryptic",1,0,0,35,"=",0,"no designable isoform"
"CD86","cryptic+response",3,0,1,22,"=,c",1,"no designable isoform"
"RIN3","response",2,0,0,12,"=",0,"no designable isoform"
"EHBP1","cryptic",1,0,0,8,"=",0,"no designable isoform"
"RSAD2","response",2,0,0,7,"=",0,"no designable isoform"
"CCL3","response",2,0,0,6,"=",0,"no designable isoform"
"SOCS4","cryptic",1,0,0,6,"=",0,"no designable isoform"
"DDX58","response",3,0,2,4,"=,c",2,"no designable isoform"
"IPCEF1","cryptic+response",4,0,1,3,"=,c,j",1,"no designable isoform"
"CTTNBP2NL","cryptic",1,0,0,2,"=",0,"no designable isoform"
"DCUN1D4","cryptic",1,0,0,2,"c",1,"no designable isoform"
"ARHGAP26","response",1,0,0,0,"=",0,"no designable isoform"
"GBP1","response",1,0,0,0,"=",0,"no designable isoform"
"IFITM2","response",1,0,1,0,"=",0,"no designable isoform"
"ITSN1","cryptic",1,0,1,0,"c",1,"no designable isoform"
"LINC00278","response",1,0,0,0,"=",0,"no designable isoform"
"PCSK7","cryptic",1,0,1,0,"c",1,"no designable isoform"
"R3HCC1L","cryptic",1,0,0,0,"j",0,"no designable isoform"
"SORT1","cryptic",2,0,2,0,"c",2,"no designable isoform"
"SPRING1","cryptic",2,0,2,0,"c",2,"no designable isoform"
