gene,isoform,partner,dIF,first_exon_differs,last_exon_differs,internal_junction_differs,n_exons_sw,n_exons_partner,first_exons_disjoint,tss_distance_bp,ubl5_dependent
AGPAT3,TCONS_00193114,TCONS_00193117,-0.154633333333333,True,False,False,10,10,True,17321,True
ARFGAP3,TCONS_00200433,TCONS_00200437,-0.151133333333333,True,True,True,11,10,True,102992,True
ARHGAP26,TCONS_00239246,TCONS_00239247,-0.2461,False,True,True,23,23,False,0,True
ATRN,TCONS_00184507,TCONS_00184508,-0.207866666666667,True,True,True,29,25,False,90,True
ATRN,TCONS_00184508,TCONS_00184507,0.154366666666667,True,True,True,25,29,False,90,True
BCL7B,TCONS_00273668,TCONS_00273670,0.168033333333333,True,True,False,6,6,True,439,True
BISPR,TCONS_00146457,TCONS_00146446,-0.1539,True,True,True,9,2,True,14271,True
BPNT2,TCONS_00287018,TCONS_00287019,-0.163866666666667,True,True,True,5,5,True,13755,True
CCSER2,TCONS_00034239,TCONS_00034235,-0.1628,True,True,True,8,10,True,96350,True
CD86,TCONS_00206462,TCONS_00206463,-0.435666666666667,True,True,True,7,6,False,4,True
CHST15,TCONS_00040083,TCONS_00040082,0.1762,True,False,False,8,8,True,898,True
CLN8,TCONS_00280303,TCONS_00280307,-0.1598,True,True,False,3,4,False,26,True
CNOT6L,TCONS_00229020,TCONS_00229023,-0.165766666666667,True,False,False,12,12,True,247,True
CTTNBP2NL,TCONS_00005889,TCONS_00005890,-0.194233333333333,True,True,False,6,6,True,305,True
DDX58,TCONS_00298241,TCONS_00298231,-0.177166666666667,True,True,True,3,18,True,26390,True
DIRAS1,TCONS_00151548,TCONS_00151557,-0.1556,True,True,False,2,2,True,18699,True
FAM53B,TCONS_00040098,TCONS_00040104,-0.192366666666667,True,True,True,5,7,True,47509,True
FUT7,TCONS_00301571,TCONS_00301574,-0.157266666666667,True,True,True,2,9,True,14089,True
HLA-DMB,TCONS_00257205,TCONS_00257203,0.1825,True,True,True,5,5,False,46,True
HS1BP3,TCONS_00170151,TCONS_00170155,-0.211666666666667,True,True,True,7,3,False,60,True
IPCEF1,TCONS_00260841,TCONS_00260854,-0.275,True,True,True,12,13,True,153882,False
IRAK3,TCONS_00065141,TCONS_00065140,-0.238166666666667,True,True,True,12,2,False,219,True
KDM6B,TCONS_00122000,TCONS_00122005,-0.194033333333333,True,True,True,24,2,True,9990,False
KDM6B,TCONS_00122005,TCONS_00122000,0.303933333333333,True,True,True,2,24,True,9990,False
KITLG,TCONS_00072398,TCONS_00072397,0.2996,True,False,True,10,9,True,45709,True
LGALS8,TCONS_00010788,TCONS_00010790,-0.168433333333333,True,True,True,10,5,False,3,True
LINC00278,TCONS_00314315,TCONS_00314318,-0.241566666666667,True,True,True,2,6,False,7,True
LINC02611,TCONS_00173610,TCONS_00173611,0.4042,True,True,False,3,3,False,41,True
MGAT4A,TCONS_00173596,TCONS_00173595,-0.171233333333333,True,True,True,13,16,True,67659,False
MMS22L,TCONS_00259147,TCONS_00259157,-0.175433333333333,True,True,True,25,6,False,6,True
MOSMO,TCONS_00109507,TCONS_00109504,0.185433333333333,True,True,False,2,3,False,172,True
MREG,TCONS_00177118,TCONS_00177112,-0.332966666666667,True,True,True,8,5,True,68258,False
MYZAP,TCONS_00098374,TCONS_00098351,0.192266666666667,True,True,True,4,13,True,114810,True
NCOA7,TCONS_00254331,TCONS_00254324,0.6734,True,False,True,6,16,True,128264,False
OSBPL7,TCONS_00132247,TCONS_00132252,-0.185966666666667,True,True,True,23,4,True,12679,True
PEX26,TCONS_00195814,TCONS_00195819,0.155066666666667,True,True,True,4,5,True,32310,True
PLD6,TCONS_00129523,TCONS_00129525,0.221833333333333,True,True,True,2,14,True,30835,True
PLD6,TCONS_00129525,TCONS_00129523,-0.1794,True,True,True,14,2,True,30835,True
POGLUT1,TCONS_00206349,TCONS_00206347,-0.237233333333333,False,True,True,11,10,False,0,True
PPAN-P2RY11,TCONS_00145375,TCONS_00145364,-0.1599,True,True,True,2,12,True,5331,True
PRKACB,TCONS_00004798,TCONS_00004795,-0.2291,True,True,False,10,10,True,66322,True
RASAL2,TCONS_00008518,TCONS_00008513,-0.1658,True,True,True,17,18,True,294906,True
RBKS,TCONS_00170563,TCONS_00170566,-0.329166666666667,True,True,True,8,3,False,294,True
RBKS,TCONS_00170566,TCONS_00170563,0.4408,True,True,True,3,8,False,294,True
RGS19,TCONS_00190139,TCONS_00190138,0.2572,True,False,False,6,6,True,470,False
RIN2,TCONS_00184954,TCONS_00184955,-0.180766666666667,True,True,True,3,13,False,110,True
RIN3,TCONS_00088248,TCONS_00088253,0.261433333333333,True,True,True,10,9,True,62453,True
RIN3,TCONS_00088253,TCONS_00088248,-0.2115,True,True,True,9,10,True,62453,True
RPS6KA3,TCONS_00308884,TCONS_00308885,-0.164733333333333,True,False,True,22,24,False,303,True
RPUSD2,TCONS_00097387,TCONS_00097388,0.152266666666667,True,True,False,3,3,False,33,True
RSAD2,TCONS_00160356,TCONS_00160359,-0.195266666666667,True,True,False,7,6,True,11987,True
RSAD2,TCONS_00160359,TCONS_00160356,0.3374,True,True,False,6,7,True,11987,True
RTN4RL2,TCONS_00045493,TCONS_00045491,0.168633333333333,True,True,False,3,3,False,338,True
SAMD14,TCONS_00132520,TCONS_00132521,-0.217633333333333,True,True,True,9,7,True,6363,True
SEC14L2,TCONS_00196950,TCONS_00196933,-0.1682,True,True,True,4,12,True,28750,True
SHFL,TCONS_00145354,TCONS_00145353,-0.1562,True,True,True,8,7,False,20,True
SOCS4,TCONS_00086549,TCONS_00086552,0.1795,True,False,False,2,2,False,165,True
SOX5,TCONS_00069381,TCONS_00069396,-0.170966666666667,True,True,True,15,5,True,407760,True
SP1,TCONS_00063992,TCONS_00063993,0.184133333333333,True,False,False,6,6,True,463,True
THAP2,TCONS_00065420,TCONS_00065424,0.4244,True,True,True,2,6,True,22114,True
TIMP2,TCONS_00134513,TCONS_00134515,-0.153533333333333,True,False,False,5,5,True,51237,True
