gene,isoform,partner,dIF,partner_dIF,gene_expression,first_exon_differs,last_exon_differs,internal_junction_differs,first_exons_disjoint,last_exons_disjoint,tss_distance_bp,tes_distance_bp,same_tss_id,n_exons_sw,n_exons_partner,cc_sw,cc_partner,novel,event_class
ACP3,TCONS_00207095,TCONS_00207094,-0.1536,0.0878666666666668,"<bound method Series.ge of gname                   ACP3
gene_id          XLOC_036833
isoform_id    TCONS_00207095
oId              PB.11592.24
cc                         =
dIF                  -0.1536
is_sw                   True
ge                221.239571
v1                 26.024962
v2                  7.778989
IF1                 0.226333
IF2                 0.072733
Name: 676, dtype: object>",True,True,False,False,True,101,12785,False,11,10,=,=,False,terminal_other
AGPAT3,TCONS_00193114,TCONS_00193117,-0.154633333333333,0.0893,"<bound method Series.ge of gname                     AGPAT3
gene_id              XLOC_034074
isoform_id        TCONS_00193114
oId           ENST00000291572.13
cc                             =
dIF                    -0.154633
is_sw                       True
ge                     66.155669
v1                     24.497691
v2                     22.391328
IF1                     0.791067
IF2                     0.636433
Name: 567, dtype: object>",True,True,False,True,False,17321,2919,False,10,10,=,=,False,pure_promoter_switch
ALOX5,TCONS_00033001,TCONS_00033004,0.172233333333333,-0.0516,"<bound method Series.ge of gname                  ALOX5
gene_id          XLOC_005665
isoform_id    TCONS_00033001
oId                PB.2170.1
cc                         =
dIF                 0.172233
is_sw                   True
ge                 21.529138
v1                   7.66455
v2                  4.492235
IF1                   0.5177
IF2                 0.689933
Name: 111, dtype: object>",True,True,True,True,True,68422,2664,False,14,2,=,=,False,promoter_plus_internal
AMN1,TCONS_00077391,TCONS_00069725,0.250666666666667,-0.135266666666667,"<bound method Series.ge of gname                   AMN1
gene_id          XLOC_012538
isoform_id    TCONS_00077391
oId                PB.4058.7
cc                         c
dIF                 0.250667
is_sw                   True
ge                 12.885121
v1                  0.945152
v2                  1.922942
IF1                 0.122267
IF2                 0.372933
Name: 264, dtype: object>",True,True,True,True,False,31167,951,False,4,6,c,=,True,promoter_plus_internal
ARFGAP3,TCONS_00200433,TCONS_00201285,-0.151133333333333,0.116466666666667,"<bound method Series.ge of gname                   ARFGAP3
gene_id             XLOC_035738
isoform_id       TCONS_00200433
oId           ENST00000263246.8
cc                            =
dIF                   -0.151133
is_sw                      True
ge                   451.633819
v1                    90.344676
v2                    41.320038
IF1                    0.358467
IF2                    0.207333
Name: 631, dtype: object>",True,True,True,True,True,157887,51989,False,11,10,=,c,False,promoter_plus_internal
ARHGAP26,TCONS_00239246,TCONS_00247824,-0.2461,0.0752666666666667,"<bound method Series.ge of gname                  ARHGAP26
gene_id             XLOC_042623
isoform_id       TCONS_00239246
oId           ENST00000645722.2
cc                            =
dIF                     -0.2461
is_sw                      True
ge                    68.350942
v1                    19.293274
v2                    18.254826
IF1                    0.698133
IF2                    0.452033
Name: 724, dtype: object>",True,True,True,True,False,385183,4862,False,23,4,=,j,False,promoter_plus_internal
ATRN,TCONS_00184507,TCONS_00184508,-0.207866666666667,0.154366666666667,"<bound method Series.ge of gname                       ATRN
gene_id              XLOC_032370
isoform_id        TCONS_00184507
oId           ENST00000262919.10
cc                             =
dIF                    -0.207867
is_sw                       True
ge                     18.476315
v1                      6.937873
v2                      4.415859
IF1                     0.713633
IF2                     0.505767
Name: 550, dtype: object>",True,True,True,False,True,90,35171,True,29,25,=,=,False,internal_splicing_only
ATRN,TCONS_00184508,TCONS_00184507,0.154366666666667,-0.207866666666667,"<bound method Series.ge of gname                      ATRN
gene_id             XLOC_032370
isoform_id       TCONS_00184508
oId           ENST00000446916.2
cc                            =
dIF                    0.154367
is_sw                      True
ge                    18.476315
v1                     2.038482
v2                     3.207542
IF1                      0.2098
IF2                    0.364167
Name: 551, dtype: object>",True,True,True,False,True,90,35171,True,25,29,=,=,False,internal_splicing_only
BCL7B,TCONS_00273668,TCONS_00273670,0.168033333333333,-0.11,"<bound method Series.ge of gname                     BCL7B
gene_id             XLOC_049531
isoform_id       TCONS_00273668
oId           ENST00000223368.7
cc                            =
dIF                    0.168033
is_sw                      True
ge                   129.849967
v1                    29.904458
v2                     32.39159
IF1                    0.407067
IF2                      0.5751
Name: 827, dtype: object>",True,True,False,True,False,439,32,False,6,6,=,=,False,terminal_other
BISPR,TCONS_00146457,TCONS_00158123,-0.1539,0.04,"<bound method Series.ge of gname                      BISPR
gene_id              XLOC_026050
isoform_id        TCONS_00146457
oId           ENST00000317040.12
cc                             =
dIF                      -0.1539
is_sw                       True
ge                     68.635393
v1                     18.949828
v2                     11.120049
IF1                     0.508167
IF2                     0.354267
Name: 447, dtype: object>",True,True,True,True,True,14222,9598,False,9,3,=,j,False,promoter_plus_internal
BPNT2,TCONS_00287018,TCONS_00292333,-0.163866666666667,0.1708,"<bound method Series.ge of gname                     BPNT2
gene_id             XLOC_051993
isoform_id       TCONS_00287018
oId           ENST00000262644.9
cc                            =
dIF                   -0.163867
is_sw                      True
ge                   100.005279
v1                    38.169739
v2                     42.74833
IF1                    0.904967
IF2                      0.7411
Name: 870, dtype: object>",True,True,False,True,False,13722,4780,False,5,4,=,c,False,pure_promoter_switch
CCL22,TCONS_00111382,TCONS_00119223,0.356333333333333,-0.2364,"<bound method Series.ge of gname                  CCL22
gene_id          XLOC_020026
isoform_id    TCONS_00111382
oId                PB.4996.2
cc                         =
dIF                 0.356333
is_sw                   True
ge                147.868337
v1                  6.359196
v2                129.964364
IF1                 0.580867
IF2                   0.9372
Name: 327, dtype: object>",True,True,False,True,False,905,2,False,3,4,=,j,False,terminal_other
CCL22,TCONS_00119223,TCONS_00111382,-0.2364,0.356333333333333,"<bound method Series.ge of gname                  CCL22
gene_id          XLOC_020026
isoform_id    TCONS_00119223
oId                PB.6379.3
cc                         j
dIF                  -0.2364
is_sw                   True
ge                147.868337
v1                  2.486716
v2                  5.011529
IF1                 0.277967
IF2                 0.041567
Name: 329, dtype: object>",True,True,False,True,False,905,2,False,4,3,j,=,True,terminal_other
CCL3,TCONS_00130712,TCONS_00130722,-0.219833333333333,0.235966666666667,"<bound method Series.ge of gname                   CCL3
gene_id          XLOC_023567
isoform_id    TCONS_00130712
oId                PB.5431.1
cc                         =
dIF                -0.219833
is_sw                   True
ge               7597.476042
v1                195.418641
v2               3263.564622
IF1                   0.6672
IF2                 0.447367
Name: 383, dtype: object>",True,True,False,True,True,106591,106614,False,3,3,=,=,False,pure_promoter_switch
CCL3,TCONS_00130722,TCONS_00130712,0.235966666666667,-0.219833333333333,"<bound method Series.ge of gname                   CCL3
gene_id          XLOC_023567
isoform_id    TCONS_00130722
oId               PB.5431.20
cc                         =
dIF                 0.235967
is_sw                   True
ge               7597.476042
v1                 71.153077
v2               3563.177664
IF1                 0.251233
IF2                   0.4872
Name: 386, dtype: object>",True,True,False,True,True,106591,106614,False,3,3,=,=,False,pure_promoter_switch
CCL4,TCONS_00123817,TCONS_00123834,-0.188233333333333,0.188066666666667,"<bound method Series.ge of gname                   CCL4
gene_id          XLOC_022194
isoform_id    TCONS_00123817
oId                PB.5430.1
cc                         =
dIF                -0.188233
is_sw                   True
ge              14676.523761
v1                461.653441
v2               5451.825071
IF1                 0.581533
IF2                   0.3933
Name: 352, dtype: object>",True,True,False,True,True,107232,107257,False,3,3,=,=,False,pure_promoter_switch
CCL4,TCONS_00123834,TCONS_00123817,0.188066666666667,-0.188233333333333,"<bound method Series.ge of gname                   CCL4
gene_id          XLOC_022194
isoform_id    TCONS_00123834
oId               PB.5430.21
cc                         =
dIF                 0.188067
is_sw                   True
ge              14676.523761
v1                246.348945
v2               6990.518456
IF1                   0.3147
IF2                 0.502767
Name: 360, dtype: object>",True,True,False,True,True,107232,107257,False,3,3,=,=,False,pure_promoter_switch
CCSER2,TCONS_00034239,TCONS_00041658,-0.1628,0.118933333333333,"<bound method Series.ge of gname                    CCSER2
gene_id             XLOC_005987
isoform_id       TCONS_00034239
oId           ENST00000543283.2
cc                            =
dIF                     -0.1628
is_sw                      True
ge                    12.287698
v1                     1.036512
v2                     0.867898
IF1                    0.267667
IF2                    0.104867
Name: 118, dtype: object>",True,True,True,True,False,38991,3713,False,8,4,=,c,False,promoter_plus_internal
CD86,TCONS_00206462,TCONS_00221290,-0.435666666666667,0.300233333333333,"<bound method Series.ge of gname                      CD86
gene_id             XLOC_036709
isoform_id       TCONS_00206462
oId           ENST00000330540.7
cc                            =
dIF                   -0.435667
is_sw                      True
ge                    15.221333
v1                     4.096991
v2                     3.191192
IF1                      0.7608
IF2                    0.325133
Name: 668, dtype: object>",True,True,False,True,True,22514,3054,False,7,6,=,c,False,pure_promoter_switch
CD86,TCONS_00206469,TCONS_00206462,0.197666666666667,-0.435666666666667,"<bound method Series.ge of gname                   CD86
gene_id          XLOC_036709
isoform_id    TCONS_00206469
oId                PB.8933.2
cc                         =
dIF                 0.197667
is_sw                   True
ge                 15.221333
v1                       0.0
v2                  1.889347
IF1                      0.0
IF2                 0.197667
Name: 670, dtype: object>",True,True,False,True,False,22460,8,False,7,7,=,=,False,pure_promoter_switch
CD86,TCONS_00221290,TCONS_00206462,0.300233333333333,-0.435666666666667,"<bound method Series.ge of gname                   CD86
gene_id          XLOC_036709
isoform_id    TCONS_00221290
oId               PB.13265.3
cc                         c
dIF                 0.300233
is_sw                   True
ge                 15.221333
v1                  0.181684
v2                  3.215704
IF1                   0.0332
IF2                 0.333433
Name: 672, dtype: object>",True,True,False,True,True,22514,3054,False,6,7,c,=,True,pure_promoter_switch
CHST15,TCONS_00040083,TCONS_00041031,0.1762,-0.200633333333333,"<bound method Series.ge of gname                    CHST15
gene_id             XLOC_007464
isoform_id       TCONS_00040083
oId           ENST00000435907.6
cc                            =
dIF                      0.1762
is_sw                      True
ge                    21.692603
v1                     1.901353
v2                     2.827788
IF1                    0.146533
IF2                    0.322733
Name: 135, dtype: object>",True,True,True,True,False,72241,45,False,8,3,=,c,False,promoter_plus_internal
CLEC4G,TCONS_00152200,TCONS_00159017,0.160266666666667,-0.0732333333333334,"<bound method Series.ge of gname                 CLEC4G
gene_id          XLOC_027153
isoform_id    TCONS_00152200
oId                PB.7897.2
cc                         =
dIF                 0.160267
is_sw                   True
ge                 31.085619
v1                  6.904301
v2                  6.067112
IF1                   0.3566
IF2                 0.516867
Name: 462, dtype: object>",False,True,True,False,False,0,7,True,7,4,=,j,False,internal_splicing_only
