"isoform_id","gene_id","gene_name","dIF_n","abs_dIF","is_switching","lists","dif_rank","nested_in","is_nested","longest_unique_bp","unique_region","n_other_isoforms","assayable","verdict"
"TCONS_00254331","XLOC_045594","NCOA7",0.6734,0.6734,TRUE,"response",0.652166666666667,,FALSE,81,"chr6:125919224-125919304",19,TRUE,"designable"
"TCONS_00170563","XLOC_030548","RBKS",-0.329166666666667,0.329166666666667,TRUE,"response",0.4654,,FALSE,110,"chr2:27781379-27781488",10,TRUE,"designable"
"TCONS_00170566","XLOC_030548","RBKS",0.4408,0.4408,TRUE,"response",0.4654,,FALSE,273,"chr2:27890409-27890681",10,TRUE,"designable"
"TCONS_00065420","XLOC_011542","THAP2",0.4244,0.4244,TRUE,"response",0.438533333333333,,FALSE,572,"chr12:71664869-71665440",18,TRUE,"designable"
"TCONS_00177118","XLOC_032056","MREG",-0.332966666666667,0.332966666666667,TRUE,"response",0.318433333333333,,FALSE,803,"chr2:216038388-216039190",13,TRUE,"designable"
"TCONS_00122000","XLOC_021732","KDM6B",-0.194033333333333,0.194033333333333,TRUE,"response",0.304066666666667,,FALSE,134,"chr17:7834217-7834350",5,TRUE,"designable"
"TCONS_00122005","XLOC_021732","KDM6B",0.303933333333333,0.303933333333333,TRUE,"response",0.304066666666667,,FALSE,147,"chr17:7844207-7844353",5,TRUE,"designable"
"TCONS_00072397","XLOC_013120","KITLG",-0.252133333333333,0.252133333333333,FALSE,"response",0.294333333333333,,FALSE,72,"chr12:88534691-88534762",5,TRUE,"designable"
"TCONS_00078058","XLOC_011393","IL23A",-0.2108,0.2108,TRUE,"response",0.2664,,FALSE,75,"chr12:56336955-56337029",10,TRUE,"designable"
"TCONS_00190139","XLOC_033712","RGS19",0.2572,0.2572,TRUE,"response",0.262466666666667,,FALSE,116,"chr20:64079873-64079988",3,TRUE,"designable"
"TCONS_00252654","XLOC_045100","TMEM63B",0.234633333333333,0.234633333333333,TRUE,"response",0.2477,,FALSE,80,"chr6:44126914-44126993",11,TRUE,"designable"
"TCONS_00065141","XLOC_011494","IRAK3",-0.238166666666667,0.238166666666667,TRUE,"cryptic",0.238166666666667,,FALSE,3465,"chr12:66251158-66254622",8,TRUE,"designable"
"TCONS_00129523","XLOC_023262","PLD6",0.221833333333333,0.221833333333333,TRUE,"cryptic+response",0.2215,,FALSE,1654,"chr17:17200995-17202648",11,TRUE,"designable"
"TCONS_00129525","XLOC_023262","PLD6",-0.1794,0.1794,TRUE,"cryptic+response",0.2215,,FALSE,1645,"chr17:17212212-17213856",11,TRUE,"designable"
"TCONS_00156374","XLOC_027926","LIG1",0.218666666666667,0.218666666666667,TRUE,"cryptic",0.218666666666667,,FALSE,439,"chr19:48117782-48118220",23,TRUE,"designable"
"TCONS_00132520","XLOC_023939","SAMD14",-0.217633333333333,0.217633333333333,TRUE,"cryptic",0.217633333333333,,FALSE,79,"chr17:50124084-50124162",9,TRUE,"designable"
"TCONS_00132521","XLOC_023939","SAMD14",0.161866666666667,0.161866666666667,FALSE,"cryptic",0.217633333333333,,FALSE,104,"chr17:50117696-50117799",9,TRUE,"designable"
"TCONS_00184507","XLOC_032370","ATRN",-0.207866666666667,0.207866666666667,TRUE,"cryptic",0.207866666666667,,FALSE,4396,"chr20:3646723-3651118",2,TRUE,"designable"
"TCONS_00184508","XLOC_032370","ATRN",0.154366666666667,0.154366666666667,TRUE,"cryptic",0.207866666666667,,FALSE,120,"chr20:3615828-3615947",2,TRUE,"designable"
"TCONS_00271463","XLOC_048915","PRKAR1B",0.168833333333333,0.168833333333333,FALSE,"cryptic",0.177733333333333,,FALSE,131,"chr7:602553-602683",12,TRUE,"designable"
"TCONS_00207095","XLOC_036833","ACP3",-0.1536,0.1536,TRUE,"cryptic",0.1734,,FALSE,2670,"chr3:132369035-132371704",27,TRUE,"designable"
"TCONS_00174442","XLOC_031416","WDR33",-0.1624,0.1624,FALSE,"cryptic",0.170533333333333,,FALSE,5526,"chr2:127701027-127706552",15,TRUE,"designable"
"TCONS_00297982","XLOC_053892","ZDHHC21",-0.162666666666667,0.162666666666667,TRUE,"cryptic",0.162666666666667,,FALSE,4464,"chr9:14611071-14615534",3,TRUE,"designable"
"TCONS_00193114","XLOC_034074","AGPAT3",-0.154633333333333,0.154633333333333,TRUE,"cryptic",0.154633333333333,,FALSE,1056,"chr21:43986537-43987592",17,TRUE,"designable"
"TCONS_00097387","XLOC_017457","RPUSD2",0.152266666666667,0.152266666666667,TRUE,"cryptic",0.152266666666667,,FALSE,494,"chr15:40574456-40574949",3,TRUE,"designable"
"TCONS_00160356","XLOC_028291","RSAD2",-0.195266666666667,0.195266666666667,TRUE,"response",0.3671,,FALSE,0,,12,FALSE,"tiled over -- longest unique run 0 bp"
