gene,isoform,partner,dIF,first_exon_differs,last_exon_differs,internal_junction_differs,n_exons_sw,n_exons_partner,first_exons_disjoint,tss_distance_bp,ubl5_dependent,mode
AGPAT3,TCONS_00193114,TCONS_00193117,-0.154633333333333,True,False,False,10,10,True,17321,True,distal
ARFGAP3,TCONS_00200433,TCONS_00200437,-0.151133333333333,True,True,True,11,10,True,102992,True,distal
ARHGAP26,TCONS_00239246,TCONS_00239247,-0.2461,False,True,True,23,23,False,0,True,proximal
ATRN,TCONS_00184507,TCONS_00184508,-0.207866666666667,True,True,True,29,25,False,90,True,proximal
ATRN,TCONS_00184508,TCONS_00184507,0.154366666666667,True,True,True,25,29,False,90,True,proximal
BCL7B,TCONS_00273668,TCONS_00273670,0.168033333333333,True,True,False,6,6,True,439,True,proximal
BISPR,TCONS_00146457,TCONS_00146446,-0.1539,True,True,True,9,2,True,14271,True,distal
BPNT2,TCONS_00287018,TCONS_00287019,-0.163866666666667,True,True,True,5,5,True,13755,True,distal
CCSER2,TCONS_00034239,TCONS_00034235,-0.1628,True,True,True,8,10,True,96350,True,distal
CD86,TCONS_00206462,TCONS_00206463,-0.435666666666667,True,True,True,7,6,False,4,True,proximal
CHST15,TCONS_00040083,TCONS_00040082,0.1762,True,False,False,8,8,True,898,True,proximal
CLN8,TCONS_00280303,TCONS_00280307,-0.1598,True,True,False,3,4,False,26,True,proximal
CNOT6L,TCONS_00229020,TCONS_00229023,-0.165766666666667,True,False,False,12,12,True,247,True,proximal
CTTNBP2NL,TCONS_00005889,TCONS_00005890,-0.194233333333333,True,True,False,6,6,True,305,True,proximal
DDX58,TCONS_00298241,TCONS_00298231,-0.177166666666667,True,True,True,3,18,True,26390,True,distal
DIRAS1,TCONS_00151548,TCONS_00151557,-0.1556,True,True,False,2,2,True,18699,True,distal
FAM53B,TCONS_00040098,TCONS_00040104,-0.192366666666667,True,True,True,5,7,True,47509,True,distal
FUT7,TCONS_00301571,TCONS_00301574,-0.157266666666667,True,True,True,2,9,True,14089,True,distal
HLA-DMB,TCONS_00257205,TCONS_00257203,0.1825,True,True,True,5,5,False,46,True,proximal
HS1BP3,TCONS_00170151,TCONS_00170155,-0.211666666666667,True,True,True,7,3,False,60,True,proximal
IPCEF1,TCONS_00260841,TCONS_00260854,-0.275,True,True,True,12,13,True,153882,False,distal
IRAK3,TCONS_00065141,TCONS_00065140,-0.238166666666667,True,True,True,12,2,False,219,True,proximal
KDM6B,TCONS_00122000,TCONS_00122005,-0.194033333333333,True,True,True,24,2,True,9990,False,distal
KDM6B,TCONS_00122005,TCONS_00122000,0.303933333333333,True,True,True,2,24,True,9990,False,distal
KITLG,TCONS_00072398,TCONS_00072397,0.2996,True,False,True,10,9,True,45709,True,distal
LGALS8,TCONS_00010788,TCONS_00010790,-0.168433333333333,True,True,True,10,5,False,3,True,proximal
LINC00278,TCONS_00314315,TCONS_00314318,-0.241566666666667,True,True,True,2,6,False,7,True,proximal
LINC02611,TCONS_00173610,TCONS_00173611,0.4042,True,True,False,3,3,False,41,True,proximal
